"",BBK01.OXA7B8,BBK01.OXA7B8_FLAGS
"",Other medium-term loans to employees and other individuals - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:08,
2010-06,4.691,
2010-07,4.705,
2010-08,4.735,
2010-09,4.698,
2010-10,4.666,
2010-11,4.556,
2010-12,4.594,
2011-01,4.564,
2011-02,4.562,
2011-03,4.565,
2011-04,4.381,
2011-05,4.455,
2011-06,4.467,
2011-07,4.534,
2011-08,4.559,
2011-09,4.590,
2011-10,4.596,
2011-11,4.631,
2011-12,4.642,
2012-01,4.668,
2012-02,4.674,
2012-03,4.708,
2012-04,4.683,
2012-05,4.690,
2012-06,4.690,
2012-07,4.650,
2012-08,4.560,
2012-09,4.564,
2012-10,4.637,
2012-11,4.624,
2012-12,4.631,
2013-01,4.652,
2013-02,4.638,
2013-03,4.583,
2013-04,4.593,
2013-05,4.566,
2013-06,4.529,
2013-07,4.556,
2013-08,4.555,
2013-09,4.547,
2013-10,4.536,
2013-11,4.568,
2013-12,4.464,
2014-01,4.516,
2014-02,4.456,
2014-03,4.435,
2014-04,4.429,
2014-05,4.484,
2014-06,4.406,
2014-07,4.421,
2014-08,4.463,
2014-09,4.465,
2014-10,4.421,
2014-11,4.448,
2014-12,4.671,Provisional value
