"",BBFN1.M.DE.N.1.L.ZA.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.ZA.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1997-10,0.087,
1997-11,0.090,
1997-12,0.103,
1998-01,0.112,
1998-02,0.113,
1998-03,0.108,
1998-04,0.173,
1998-05,0.140,
1998-06,0.120,
1998-07,0.136,
1998-08,0.141,
1998-09,0.126,
1998-10,0.131,
1998-11,0.114,
1998-12,0.118,
1999-01,0.118,
1999-02,0.130,
1999-03,0.156,
1999-04,.,No value available
1999-05,0.202,
1999-06,0.217,
1999-07,0.233,
1999-08,0.248,
1999-09,0.252,
1999-10,0.275,
1999-11,0.254,
1999-12,0.256,
2000-01,0.300,
2000-02,0.309,
2000-03,0.286,
2000-04,0.260,
2000-05,0.297,
2000-06,0.262,
2000-07,0.226,
2000-08,0.467,
2000-09,0.314,
2000-10,0.365,
2000-11,0.333,
2000-12,0.348,
2001-01,0.292,
2001-02,0.280,
2001-03,0.243,
2001-04,0.234,
2001-05,0.227,
2001-06,0.225,
2001-07,0.229,
2001-08,0.133,
2001-09,0.135,
2001-10,0.166,
2001-11,0.163,
2001-12,0.163,
2002-01,0.171,
2002-02,0.167,
2002-03,0.150,
2002-04,0.177,
2002-05,0.168,
2002-06,0.127,
2002-07,0.152,
2002-08,0.150,
2002-09,0.117,
2002-10,0.103,
2002-11,0.132,
2002-12,0.104,
2003-01,0.181,
2003-02,0.037,
2003-03,0.016,
2003-04,0.021,
2003-05,0.018,
2003-06,0.038,
2003-07,0.035,
2003-08,0.037,
2003-09,0.022,
2003-10,0.054,
2003-11,0.074,
2003-12,0.089,
2004-01,0.018,
2004-02,0.025,
2004-03,0.022,
2004-04,0.018,
2004-05,0.018,
2004-06,0.029,
2004-07,0.011,
2004-08,0.010,
2004-09,0.009,
2004-10,0.013,
2004-11,0.014,
2004-12,0.017,
2005-01,0.016,
2005-02,0.012,
2005-03,0.014,
2005-04,0.015,
2005-05,0.010,
2005-06,0.011,
2005-07,0.010,
2005-08,0.007,
2005-09,0.010,
2005-10,0.007,
2005-11,0.007,
2005-12,0.013,
2006-01,0.015,
2006-02,0.011,
2006-03,0.009,
2006-04,0.016,
2006-05,0.014,
2006-06,0.013,
2006-07,0.051,
2006-08,0.050,
2006-09,0.054,
2006-10,0.054,
2006-11,0.007,
2006-12,0.011,
2007-01,0.017,
2007-02,0.024,
2007-03,0.044,
2007-04,0.012,
2007-05,0.005,
2007-06,0.032,
2007-07,0.026,
2007-08,0.028,
2007-09,0.044,
2007-10,0.018,
2007-11,0.080,
2007-12,0.019,
2008-01,0.017,
2008-02,0.023,
2008-03,0.023,
2008-04,0.027,
2008-05,0.029,
2008-06,0.076,
2008-07,0.036,
2008-08,0.036,
2008-09,0.039,
2008-10,0.037,
2008-11,0.093,
2008-12,0.099,
2009-01,0.096,
2009-02,0.093,
2009-03,0.107,
2009-04,0.100,
2009-05,0.113,
2009-06,0.110,
2009-07,0.109,
2009-08,0.114,
2009-09,0.121,
2009-10,0.115,
2009-11,0.120,
2009-12,0.125,
2010-01,0.137,
2010-02,0.146,
2010-03,0.168,
2010-04,0.138,
2010-05,0.082,
2010-06,0.085,
2010-07,0.089,
2010-08,0.085,
2010-09,0.112,
2010-10,0.115,
2010-11,0.095,
2010-12,0.101,
2011-01,0.101,
2011-02,0.104,
2011-03,0.106,
2011-04,0.112,
2011-05,0.111,
2011-06,0.107,
2011-07,0.105,
2011-08,0.107,
2011-09,0.116,
2011-10,0.111,
2011-11,0.111,
2011-12,0.114,
2012-01,0.122,
2012-02,0.117,
2012-03,0.143,
2012-04,0.116,
2012-05,0.112,
2012-06,0.114,
2012-07,0.144,
2012-08,0.116,
2012-09,0.108,
2012-10,0.113,
2012-11,0.111,
2012-12,0.094,
2013-01,0.087,
2013-02,0.089,
2013-03,0.092,
2013-04,0.088,
2013-05,0.090,
2013-06,0.091,
2013-07,0.103,
2013-08,0.105,
2013-09,0.082,
2013-10,0.086,
2013-11,0.087,
2013-12,0.099,
2014-01,0.091,
2014-02,0.083,
2014-03,0.088,
2014-04,0.095,
2014-05,0.125,
2014-06,0.131,
2014-07,0.125,
2014-08,0.135,
2014-09,0.136,
2014-10,0.125,
2014-11,0.203,
2014-12,0.112,
