"",BBFB1.Q.N.DE.A1.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:22,
1991-01,778.772,
1991-04,1156.416,
1991-07,717.940,
1991-10,545.371,
1992-01,412.456,
1992-04,665.960,
1992-07,210.277,
1992-10,260.157,
1993-01,156.284,
1993-04,277.733,
1993-07,100.118,
1993-10,-55.460,
1994-01,263.019,
1994-04,369.306,
1994-07,-85.751,
1994-10,138.081,
1995-01,-211.064,
1995-04,8.315,
1995-07,-427.640,
1995-10,-45.422,
1996-01,-273.168,
1996-04,96.721,
1996-07,-486.405,
1996-10,-206.421,
1997-01,-778.561,
1997-04,-171.286,
1997-07,-493.106,
1997-10,-456.058,
1998-01,-606.616,
1998-04,-630.684,
1998-07,-1323.249,
1998-10,-1293.969,
1999-01,-1111.403,
1999-04,-841.405,
1999-07,-1127.373,
1999-10,-1964.812,
2000-01,-854.755,
2000-04,-481.227,
2000-07,-959.409,
2000-10,-1712.241,
2001-01,-1394.277,
2001-04,-1184.300,
2001-07,-1895.004,
2001-10,-2000.479,
2002-01,-413.154,
2002-04,318.083,
2002-07,543.497,
2002-10,103.292,
2003-01,-1298.165,
2003-04,176.129,
2003-07,-272.103,
2003-10,-574.843,
2004-01,-401.658,
2004-04,-118.492,
2004-07,199.956,
2004-10,-181.496,
2005-01,648.267,
2005-04,127.904,
2005-07,-419.414,
2005-10,-297.410,
2006-01,-1178.853,
2006-04,193.098,
2006-07,-432.690,
2006-10,-1389.125,
2007-01,-550.663,
2007-04,697.193,
2007-07,16.738,
2007-10,660.029,
2008-01,-154.454,
2008-04,326.883,
2008-07,50.963,
2008-10,829.713,
2009-01,634.107,
2009-04,475.720,
2009-07,-55.402,
2009-10,592.522,
2010-01,389.344,
2010-04,222.604,
2010-07,260.569,
2010-10,786.417,
2011-01,599.845,
2011-04,211.721,
2011-07,-519.928,
2011-10,626.316,
2012-01,-1398.246,
2012-04,360.243,
2012-07,-125.936,
2012-10,630.003,
2013-01,-1031.174,
2013-04,-33.961,
2013-07,-201.749,
2013-10,-94.175,
2014-01,-30.221,Provisional value
2014-04,121.298,Provisional value
2014-07,-650.724,Provisional value
