"",BBSF2.M.1.T.00000.GEF01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.T.00000.GEF01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Funds total / Mixed funds / Investment fund shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:06,
2009-09,18921,
2009-10,18642,
2009-11,19173,
2009-12,21604,
2010-01,21942,
2010-02,22322,
2010-03,23651,
2010-04,24264,
2010-05,24375,
2010-06,24793,
2010-07,25455,
2010-08,26009,
2010-09,27261,
2010-10,28679,
2010-11,29854,
2010-12,29734,
2011-01,29637,
2011-02,29483,
2011-03,29074,
2011-04,29764,
2011-05,30373,
2011-06,29681,
2011-07,29420,
2011-08,26914,
2011-09,26381,
2011-10,26074,
2011-11,25819,
2011-12,26186,
2012-01,27476,
2012-02,34595,
2012-03,34126,
2012-04,34162,
2012-05,34014,
2012-06,35510,
2012-07,36834,
2012-08,37268,
2012-09,37923,
2012-10,38725,
2012-11,38985,
2012-12,41842,
2013-01,42690,
2013-02,43642,
2013-03,44938,
2013-04,46178,
2013-05,44636,
2013-06,41833,
2013-07,45460,
2013-08,44463,
2013-09,46241,
2013-10,47643,
2013-11,46900,
2013-12,46104,
2014-01,46085,
2014-02,47449,
2014-03,46983,
2014-04,47880,
2014-05,49159,
2014-06,49925,
2014-07,50798,
2014-08,45869,
2014-09,45116,
2014-10,46918,
2014-11,48675,
