"",BBK01.OEAH52H,BBK01.OEAH52H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:02,
2002-01,0.636,
2002-04,0.652,
2002-07,0.659,
2002-10,0.648,
2003-01,0.640,
2003-04,0.628,
2003-07,0.616,
2003-10,0.619,
2004-01,0.624,
2004-04,0.626,
2004-07,0.633,
2004-10,0.634,
2005-01,0.622,
2005-04,0.609,
2005-07,0.581,
2005-10,0.558,
2006-01,0.540,
2006-04,0.537,
2006-07,0.531,
2006-10,0.519,
2007-01,0.502,
2007-04,0.483,
2007-07,0.477,
2007-10,0.473,
2008-01,0.470,
2008-04,0.457,
2008-07,0.458,
2008-10,0.462,
2009-01,0.475,
2009-04,0.492,
2009-07,0.527,
2009-10,0.602,
2010-01,0.631,
2010-04,0.639,
2010-07,0.632,
2010-10,0.630,
2011-01,0.636,
2011-04,0.664,
2011-07,0.664,
2011-10,0.654,
2012-01,0.630,
2012-04,0.601,
2012-07,0.565,
2012-10,0.514,
2013-01,0.471,
2013-04,0.442,
2013-07,0.422,
2013-10,0.400,
2014-01,0.376,
2014-04,0.333,
2014-07,0.328,
