"",BBK01.OEAA38Q,BBK01.OEAA38Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:24,
2002-01,2.086,
2002-04,2.049,
2002-07,2.009,
2002-10,1.966,
2003-01,1.900,
2003-04,1.889,
2003-07,1.853,
2003-10,1.818,
2004-01,1.705,
2004-04,1.276,
2004-07,1.251,
2004-10,1.197,
2005-01,1.160,
2005-04,1.143,
2005-07,1.115,
2005-10,1.010,
2006-01,0.991,
2006-04,0.994,
2006-07,0.974,
2006-10,0.934,
2007-01,0.938,
2007-04,0.919,
2007-07,0.890,
2007-10,0.856,
2008-01,0.828,
2008-04,0.806,
2008-07,0.801,
2008-10,0.776,
2009-01,0.775,
2009-04,0.769,
2009-07,0.777,
2009-10,0.773,
2010-01,0.757,
2010-04,0.798,
2010-07,0.737,
2010-10,0.759,
2011-01,0.785,
2011-04,0.798,
2011-07,0.806,
2011-10,0.813,
2012-01,0.838,
2012-04,0.856,
2012-07,0.855,
2012-10,0.850,
2013-01,0.881,
2013-04,0.854,
2013-07,0.846,
2013-10,0.861,
2014-01,0.847,
2014-04,0.909,
2014-07,0.929,
