"",BBK01.OEHI05N,BBK01.OEHI05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:52,
2002-01,1.375,
2002-04,1.384,
2002-07,1.366,
2002-10,1.559,
2003-01,1.575,
2003-04,1.586,
2003-07,1.564,
2003-10,1.759,
2004-01,1.777,
2004-04,1.829,
2004-07,1.936,
2004-10,1.664,
2005-01,1.686,
2005-04,1.814,
2005-07,1.847,
2005-10,1.728,
2006-01,1.867,
2006-04,1.875,
2006-07,2.023,
2006-10,2.024,
2007-01,2.088,
2007-04,2.177,
2007-07,2.184,
2007-10,2.209,
2008-01,2.151,
2008-04,2.186,
2008-07,2.196,
2008-10,2.196,
2009-01,2.253,
2009-04,2.852,
2009-07,2.953,
2009-10,3.032,
2010-01,3.042,
2010-04,3.068,
2010-07,3.099,
2010-10,3.143,
2011-01,3.403,
2011-04,3.703,
2011-07,3.696,
2011-10,3.692,
2012-01,3.725,
2012-04,3.744,
2012-07,3.781,
2012-10,3.774,
2013-01,3.967,
2013-04,4.166,
2013-07,4.322,
2013-10,4.273,
2014-01,4.314,
2014-04,4.293,
2014-07,4.361,
