"",BBNZ1.Q.DE.N.H.0082.A,BBNZ1.Q.DE.N.H.0082.A_FLAGS
"",Germany / National accounts / Origin of GDP / Real estate activities / Chain-linked index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:27,
1991-01,55.05,
1991-04,50.59,
1991-07,55.58,
1991-10,52.57,
1992-01,55.84,
1992-04,55.29,
1992-07,58.04,
1992-10,55.36,
1993-01,58.47,
1993-04,58.23,
1993-07,60.83,
1993-10,58.23,
1994-01,62.24,
1994-04,61.78,
1994-07,64.49,
1994-10,61.89,
1995-01,68.16,
1995-04,67.66,
1995-07,70.57,
1995-10,68.26,
1996-01,73.98,
1996-04,73.82,
1996-07,76.59,
1996-10,74.13,
1997-01,75.97,
1997-04,76.41,
1997-07,79.14,
1997-10,76.90,
1998-01,79.49,
1998-04,78.98,
1998-07,81.36,
1998-10,78.59,
1999-01,78.79,
1999-04,78.30,
1999-07,80.64,
1999-10,78.22,
2000-01,83.30,
2000-04,82.13,
2000-07,83.87,
2000-10,79.97,
2001-01,85.66,
2001-04,84.31,
2001-07,87.10,
2001-10,84.77,
2002-01,88.56,
2002-04,87.63,
2002-07,90.24,
2002-10,86.71,
2003-01,89.80,
2003-04,89.20,
2003-07,92.41,
2003-10,87.74,
2004-01,90.66,
2004-04,90.62,
2004-07,92.58,
2004-10,88.29,
2005-01,92.93,
2005-04,92.24,
2005-07,94.91,
2005-10,90.46,
2006-01,93.92,
2006-04,93.10,
2006-07,95.16,
2006-10,92.43,
2007-01,97.63,
2007-04,96.79,
2007-07,99.36,
2007-10,94.41,
2008-01,100.30,
2008-04,99.55,
2008-07,101.59,
2008-10,95.33,
2009-01,101.73,
2009-04,101.15,
2009-07,103.57,
2009-10,98.39,
2010-01,102.17,
2010-04,99.43,
2010-07,102.15,
2010-10,96.25,
2011-01,105.25,
2011-04,102.65,
2011-07,105.60,
2011-10,100.08,
2012-01,102.88,
2012-04,101.05,
2012-07,103.48,
2012-10,97.92,
2013-01,103.56,
2013-04,101.37,
2013-07,103.91,
2013-10,98.62,
2014-01,104.72,
2014-04,102.54,
2014-07,105.38,
2014-10,99.33,
