"",BBK01.CEF903,BBK01.CEF903_FLAGS
"",Non-MMF investment fund shares or units  debtor: Total                                  creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:39,
1999-01,101.9,
1999-04,111.8,
1999-07,111.3,
1999-10,129.1,
2000-01,135.1,
2000-04,136.2,
2000-07,142.6,
2000-10,138.0,
2001-01,134.5,
2001-04,137.5,
2001-07,127.8,
2001-10,134.3,
2002-01,129.7,
2002-04,126.0,
2002-07,118.1,
2002-10,123.4,
2003-01,120.6,
2003-04,127.6,
2003-07,130.4,
2003-10,128.5,
2004-01,133.5,
2004-04,133.8,
2004-07,135.4,
2004-10,142.3,
2005-01,150.1,
2005-04,159.3,
2005-07,168.6,
2005-10,172.4,
2006-01,177.5,
2006-04,172.0,
2006-07,182.8,
2006-10,194.1,
2007-01,190.5,
2007-04,187.5,
2007-07,183.1,
2007-10,174.2,
2008-01,167.6,
2008-04,164.1,
2008-07,161.7,
2008-10,150.5,
2009-01,146.2,
2009-04,149.2,
2009-07,156.6,
2009-10,152.2,
2010-01,153.8,
2010-04,153.1,
2010-07,157.3,
2010-10,154.1,
2011-01,153.6,
2011-04,150.7,
2011-07,147.7,
2011-10,143.3,
2012-01,144.5,
2012-04,142.4,
2012-07,146.6,
2012-10,148.9,
2013-01,148.7,
2013-04,147.4,
2013-07,148.2,
2013-10,148.9,
2014-01,150.3,
2014-04,152.8,
2014-07,155.9,
