"",BBK01.OEAN02N,BBK01.OEAN02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:03,
2002-01,113.071,
2002-04,111.576,
2002-07,112.034,
2002-10,116.268,
2003-01,118.046,
2003-04,117.812,
2003-07,118.094,
2003-10,121.889,
2004-01,123.129,
2004-04,123.074,
2004-07,123.692,
2004-10,92.714,
2005-01,99.219,
2005-04,98.452,
2005-07,97.060,
2005-10,98.191,
2006-01,99.601,
2006-04,99.789,
2006-07,99.284,
2006-10,99.157,
2007-01,98.434,
2007-04,96.591,
2007-07,95.631,
2007-10,95.662,
2008-01,94.985,
2008-04,93.798,
2008-07,91.797,
2008-10,96.377,
2009-01,98.834,
2009-04,101.058,
2009-07,104.346,
2009-10,106.380,
2010-01,107.684,
2010-04,107.732,
2010-07,107.618,
2010-10,109.425,
2011-01,110.150,
2011-04,108.682,
2011-07,107.694,
2011-10,107.218,
2012-01,107.105,
2012-04,106.155,
2012-07,105.144,
2012-10,104.261,
2013-01,102.022,
2013-04,100.764,
2013-07,99.794,
2013-10,99.617,
2014-01,98.443,
2014-04,96.959,
2014-07,97.217,
