"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.U3.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.U3.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / EU member states not belonging to the Euro area,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:34,
2009-09,52319,
2009-10,54003,
2009-11,55236,
2009-12,56220,
2010-01,57227,
2010-02,58232,
2010-03,60600,
2010-04,61964,
2010-05,61689,
2010-06,62152,
2010-07,63874,
2010-08,66123,
2010-09,68021,
2010-10,69888,
2010-11,69973,
2010-12,70723,
2011-01,70216,
2011-02,70473,
2011-03,70562,
2011-04,71319,
2011-05,73142,
2011-06,73016,
2011-07,73954,
2011-08,72346,
2011-09,71658,
2011-10,69609,
2011-11,72069,
2011-12,73448,
2012-01,75731,
2012-02,78370,
2012-03,79845,
2012-04,81316,
2012-05,81520,
2012-06,82444,
2012-07,85343,
2012-08,85611,
2012-09,85428,
2012-10,85210,
2012-11,85159,
2012-12,86035,
2013-01,83105,
2013-02,84680,
2013-03,85863,
2013-04,87121,
2013-05,86934,
2013-06,84888,
2013-07,86281,
2013-08,85887,
2013-09,86225,
2013-10,86369,
2013-11,87771,
2013-12,87206,
2014-01,86615,
2014-02,88332,
2014-03,88590,
2014-04,89263,
2014-05,90911,
2014-06,93377,
2014-07,93652,
2014-08,94838,
2014-09,96289,
2014-10,96947,
2014-11,99492,
