"",BBK01.OELL04Q,BBK01.OELL04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:02,
2002-01,1.082,
2002-04,1.052,
2002-07,1.088,
2002-10,1.139,
2003-01,1.121,
2003-04,0.894,
2003-07,1.023,
2003-10,0.921,
2004-01,0.957,
2004-04,0.941,
2004-07,0.872,
2004-10,0.927,
2005-01,0.905,
2005-04,0.863,
2005-07,0.959,
2005-10,1.029,
2006-01,0.972,
2006-04,0.964,
2006-07,1.234,
2006-10,0.998,
2007-01,0.970,
2007-04,0.999,
2007-07,0.992,
2007-10,1.123,
2008-01,1.199,
2008-04,1.225,
2008-07,1.174,
2008-10,1.345,
2009-01,1.130,
2009-04,1.001,
2009-07,0.889,
2009-10,0.825,
2010-01,0.800,
2010-04,0.741,
2010-07,0.724,
2010-10,0.656,
2011-01,0.670,
2011-04,0.685,
2011-07,0.741,
2011-10,0.746,
2012-01,0.732,
2012-04,0.763,
2012-07,0.732,
2012-10,0.741,
2013-01,0.658,
2013-04,0.572,
2013-07,0.601,
2013-10,0.594,
2014-01,0.558,
2014-04,0.513,
2014-07,0.499,
