"",BBK01.OEAF16Q,BBK01.OEAF16Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:27,
2002-01,0.052,
2002-04,0.049,
2002-07,0.052,
2002-10,0.071,
2003-01,0.076,
2003-04,0.079,
2003-07,0.095,
2003-10,0.099,
2004-01,0.082,
2004-04,0.066,
2004-07,0.066,
2004-10,0.089,
2005-01,0.054,
2005-04,0.055,
2005-07,0.056,
2005-10,0.076,
2006-01,0.057,
2006-04,0.061,
2006-07,0.067,
2006-10,0.084,
2007-01,0.051,
2007-04,0.065,
2007-07,0.055,
2007-10,0.078,
2008-01,0.039,
2008-04,0.039,
2008-07,0.049,
2008-10,0.056,
2009-01,0.043,
2009-04,0.044,
2009-07,0.042,
2009-10,0.070,
2010-01,0.046,
2010-04,0.025,
2010-07,0.012,
2010-10,0.015,
2011-01,0.014,
2011-04,0.011,
2011-07,0.012,
2011-10,0.010,
2012-01,0.012,
2012-04,0.010,
2012-07,0.010,
2012-10,0.010,
2013-01,0.011,
2013-04,0.010,
2013-07,0.008,
2013-10,0.008,
2014-01,0.006,
2014-04,0.005,
2014-07,0.007,
