"",BBK01.OEHB12V,BBK01.OEHB12V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:44,
2002-01,2.069,
2002-04,2.049,
2002-07,2.065,
2002-10,2.065,
2003-01,1.973,
2003-04,2.008,
2003-07,2.011,
2003-10,2.001,
2004-01,1.952,
2004-04,1.970,
2004-07,1.969,
2004-10,1.970,
2005-01,1.907,
2005-04,1.939,
2005-07,1.981,
2005-10,1.974,
2006-01,1.994,
2006-04,2.014,
2006-07,2.042,
2006-10,2.051,
2007-01,2.022,
2007-04,2.047,
2007-07,2.080,
2007-10,2.142,
2008-01,2.108,
2008-04,2.157,
2008-07,2.320,
2008-10,2.322,
2009-01,2.301,
2009-04,2.313,
2009-07,2.367,
2009-10,2.414,
2010-01,2.633,
2010-04,2.660,
2010-07,2.690,
2010-10,2.760,
2011-01,2.830,
2011-04,2.838,
2011-07,2.986,
2011-10,3.088,
2012-01,3.154,
2012-04,3.219,
2012-07,3.287,
2012-10,3.444,
2013-01,3.418,
2013-04,3.480,
2013-07,3.537,
2013-10,3.644,
2014-01,3.660,
2014-04,3.780,
2014-07,3.870,
