"",BBK01.SUD202,BBK01.SUD202_FLAGS
"",New business (volumes) of German banks / Households' deposits with an agreed maturity of up to 1 year,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:26:44,
2003-01,38283,
2003-02,30394,
2003-03,34735,
2003-04,34394,
2003-05,30733,
2003-06,31655,
2003-07,29175,
2003-08,25650,
2003-09,28352,
2003-10,28477,
2003-11,24839,
2003-12,29428,
2004-01,30791,
2004-02,23387,
2004-03,28021,
2004-04,32020,
2004-05,30506,
2004-06,25696,
2004-07,25693,
2004-08,24546,
2004-09,23981,
2004-10,22905,
2004-11,23384,
2004-12,25470,
2005-01,26734,
2005-02,22719,
2005-03,24402,
2005-04,21835,
2005-05,22796,
2005-06,25674,
2005-07,22781,
2005-08,23949,
2005-09,23194,
2005-10,22812,
2005-11,26107,
2005-12,31326,
2006-01,31502,
2006-02,27206,
2006-03,32612,
2006-04,28341,
2006-05,29853,
2006-06,31399,
2006-07,33301,
2006-08,34694,
2006-09,31948,
2006-10,35094,
2006-11,34218,
2006-12,39250,
2007-01,47561,
2007-02,37779,
2007-03,40365,
2007-04,41888,
2007-05,40887,
2007-06,44261,
2007-07,49733,
2007-08,53951,
2007-09,55900,
2007-10,56757,
2007-11,46651,
2007-12,51117,
2008-01,67098,
2008-02,51891,
2008-03,49509,
2008-04,59292,
2008-05,50180,
2008-06,52717,
2008-07,62011,
2008-08,50968,
2008-09,53916,
2008-10,74919,
2008-11,50889,
2008-12,52012,
2009-01,48906,
2009-02,29935,
2009-03,30369,
2009-04,27496,
2009-05,25817,
2009-06,25435,
2009-07,28372,
2009-08,21694,
2009-09,19325,
2009-10,19145,
2009-11,17401,
2009-12,19427,
2010-01,20151,
2010-02,17884,
2010-03,18487,
2010-04,15049,
2010-05,13756,
2010-06,12881,
2010-07,14993,
2010-08,13926,
2010-09,13929,
2010-10,13062,
2010-11,13413,
2010-12,13862,
2011-01,17554,
2011-02,15659,
2011-03,13674,
2011-04,15283,
2011-05,15015,
2011-06,14485,
2011-07,17846,
2011-08,17115,
2011-09,18506,
2011-10,17069,
2011-11,16851,
2011-12,17013,
2012-01,18304,
2012-02,13756,
2012-03,14308,
2012-04,12402,
2012-05,14178,
2012-06,10609,
2012-07,13617,
2012-08,10091,
2012-09,9216,
2012-10,10129,
2012-11,8513,
2012-12,8557,
2013-01,8877,
2013-02,7887,
2013-03,7753,
2013-04,7655,
2013-05,7485,
2013-06,6939,
2013-07,8578,
2013-08,7310,
2013-09,7130,
2013-10,7583,
2013-11,7097,
2013-12,7630,
2014-01,8957,
2014-02,7933,
2014-03,7426,
2014-04,8300,
2014-05,7869,
2014-06,7904,
2014-07,8497,
2014-08,6962,
2014-09,7217,
2014-10,7406,
2014-11,7410,
2014-12,8589,Provisional value
"",General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. p = Provisional,
