"",BBK01.CEL302,BBK01.CEL302_FLAGS
"",Debt securities                                  debtor: Total            creditor: Domestic financial sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:43,
1999-01,32.6,
1999-04,54.6,
1999-07,40.6,
1999-10,8.6,
2000-01,58.7,
2000-04,18.7,
2000-07,22.7,
2000-10,-3.0,
2001-01,32.4,
2001-04,30.2,
2001-07,-5.7,
2001-10,10.0,
2002-01,42.2,
2002-04,14.2,
2002-07,1.6,
2002-10,-14.5,
2003-01,39.9,
2003-04,19.3,
2003-07,25.2,
2003-10,29.8,
2004-01,55.3,
2004-04,47.8,
2004-07,26.1,
2004-10,-6.2,
2005-01,60.2,
2005-04,38.1,
2005-07,3.8,
2005-10,15.9,
2006-01,26.0,
2006-04,11.6,
2006-07,24.2,
2006-10,6.9,
2007-01,74.5,
2007-04,36.1,
2007-07,-15.2,
2007-10,20.3,
2008-01,7.7,
2008-04,43.2,
2008-07,7.2,
2008-10,-18.5,
2009-01,47.9,
2009-04,78.1,
2009-07,42.9,
2009-10,9.0,
2010-01,49.0,
2010-04,29.3,
2010-07,-32.1,
2010-10,-15.7,
2011-01,6.1,
2011-04,-0.2,
2011-07,-29.5,
2011-10,-38.8,
2012-01,36.2,
2012-04,28.7,
2012-07,19.3,
2012-10,32.3,
2013-01,2.2,
2013-04,8.3,
2013-07,11.0,
2013-10,15.3,
2014-01,16.9,
2014-04,18.0,
2014-07,12.5,
