"",BBFN1.M.DE.N.1.A.US.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.US.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1991-12,3.414,
1992-01,3.557,
1992-02,3.499,
1992-03,3.435,
1992-04,3.326,
1992-05,3.308,
1992-06,3.279,
1992-07,3.209,
1992-08,3.101,
1992-09,3.092,
1992-10,3.044,
1992-11,3.063,
1992-12,3.689,
1993-01,3.573,
1993-02,3.568,
1993-03,3.452,
1993-04,3.411,
1993-05,3.390,
1993-06,3.622,
1993-07,3.614,
1993-08,3.606,
1993-09,3.559,
1993-10,3.591,
1993-11,3.659,
1993-12,3.433,
1994-01,3.350,
1994-02,3.378,
1994-03,3.387,
1994-04,3.421,
1994-05,3.437,
1994-06,3.408,
1994-07,3.259,
1994-08,3.197,
1994-09,3.066,
1994-10,3.067,
1994-11,3.218,
1994-12,3.130,
1995-01,2.983,
1995-02,2.904,
1995-03,2.695,
1995-04,2.566,
1995-05,2.576,
1995-06,3.153,
1995-07,3.557,
1995-08,3.569,
1995-09,3.538,
1995-10,3.510,
1995-11,3.720,
1995-12,3.782,
1996-01,3.758,
1996-02,3.659,
1996-03,3.651,
1996-04,3.579,
1996-05,3.481,
1996-06,2.721,
1996-07,2.496,
1996-08,2.476,
1996-09,2.423,
1996-10,2.484,
1996-11,2.592,
1996-12,2.803,
1997-01,2.963,
1997-02,2.958,
1997-03,3.308,
1997-04,3.442,
1997-05,3.431,
1997-06,3.481,
1997-07,3.407,
1997-08,3.206,
1997-09,3.330,
1997-10,3.310,
1997-11,3.477,
1997-12,3.726,
1998-01,3.872,
1998-02,3.998,
1998-03,4.041,
1998-04,4.316,
1998-05,4.293,
1998-06,4.383,
1998-07,4.357,
1998-08,4.378,
1998-09,4.548,
1998-10,4.657,
1998-11,5.418,
1998-12,5.760,
1999-01,5.449,
1999-02,5.435,
1999-03,5.460,
1999-04,5.458,
1999-05,5.579,
1999-06,5.614,
1999-07,5.607,
1999-08,5.881,
1999-09,5.880,
1999-10,5.875,
1999-11,6.109,
1999-12,6.180,
2000-01,6.606,
2000-02,6.740,
2000-03,7.030,
2000-04,7.004,
2000-05,8.565,
2000-06,9.838,
2000-07,9.846,
2000-08,9.949,
2000-09,9.931,
2000-10,10.167,
2000-11,9.849,
2000-12,10.234,
2001-01,10.620,
2001-02,10.597,
2001-03,10.582,
2001-04,10.777,
2001-05,10.832,
2001-06,11.106,
2001-07,11.271,
2001-08,11.042,
2001-09,11.775,
2001-10,11.987,
2001-11,11.945,
2001-12,12.419,
2002-01,12.158,
2002-02,19.072,
2002-03,19.278,
2002-04,19.438,
2002-05,20.073,
2002-06,19.592,
2002-07,19.301,
2002-08,20.040,
2002-09,19.221,
2002-10,20.000,
2002-11,20.178,
2002-12,14.218,
2003-01,16.718,
2003-02,16.985,
2003-03,16.955,
2003-04,15.597,
2003-05,14.922,
2003-06,14.889,
2003-07,14.530,
2003-08,14.951,
2003-09,12.684,
2003-10,13.541,
2003-11,13.395,
2003-12,13.150,
2004-01,13.248,
2004-02,13.242,
2004-03,13.390,
2004-04,13.684,
2004-05,13.850,
2004-06,14.438,
2004-07,14.464,
2004-08,14.325,
2004-09,14.353,
2004-10,13.951,
2004-11,13.558,
2004-12,12.702,
2005-01,13.977,
2005-02,14.135,
2005-03,15.394,
2005-04,15.268,
2005-05,15.555,
2005-06,16.066,
2005-07,16.001,
2005-08,14.925,
2005-09,13.601,
2005-10,12.706,
2005-11,14.137,
2005-12,13.069,
2006-01,13.249,
2006-02,13.319,
2006-03,13.583,
2006-04,13.403,
2006-05,13.551,
2006-06,12.649,
2006-07,12.618,
2006-08,12.031,
2006-09,11.913,
2006-10,12.003,
2006-11,10.763,
2006-12,12.003,
2007-01,12.323,
2007-02,12.432,
2007-03,12.317,
2007-04,12.669,
2007-05,12.716,
2007-06,12.344,
2007-07,12.688,
2007-08,13.531,
2007-09,14.781,
2007-10,13.911,
2007-11,13.887,
2007-12,10.471,
2008-01,10.574,
2008-02,10.827,
2008-03,10.897,
2008-04,11.023,
2008-05,11.204,
2008-06,11.418,
2008-07,11.327,
2008-08,10.931,
2008-09,11.856,
2008-10,11.347,
2008-11,11.673,
2008-12,12.260,
2009-01,12.977,
2009-02,13.611,
2009-03,12.911,
2009-04,14.051,
2009-05,12.184,
2009-06,12.150,
2009-07,12.371,
2009-08,12.462,
2009-09,12.069,
2009-10,12.143,
2009-11,12.144,
2009-12,12.289,
2010-01,12.514,
2010-02,12.811,
2010-03,13.083,
2010-04,13.354,
2010-05,13.728,
2010-06,13.594,
2010-07,12.912,
2010-08,13.139,
2010-09,13.857,
2010-10,13.743,
2010-11,14.101,
2010-12,13.848,
2011-01,13.537,
2011-02,13.328,
2011-03,13.217,
2011-04,12.931,
2011-05,13.301,
2011-06,13.493,
2011-07,13.647,
2011-08,13.523,
2011-09,13.196,
2011-10,12.814,
2011-11,13.454,
2011-12,12.795,
2012-01,13.586,
2012-02,13.532,
2012-03,13.658,
2012-04,13.807,
2012-05,14.157,
2012-06,13.906,
2012-07,14.335,
2012-08,14.226,
2012-09,14.053,
2012-10,13.858,
2012-11,14.345,
2012-12,14.387,
2013-01,16.677,
2013-02,17.016,
2013-03,16.601,
2013-04,24.982,
2013-05,24.896,
2013-06,25.143,
2013-07,24.144,
2013-08,25.206,
2013-09,25.770,
2013-10,20.856,
2013-11,20.869,
2013-12,20.845,
2014-01,21.125,
2014-02,21.463,
2014-03,20.965,
2014-04,19.419,
2014-05,22.091,
2014-06,20.460,
2014-07,20.750,
2014-08,20.655,
2014-09,21.445,
2014-10,21.750,
2014-11,21.970,
2014-12,22.152,
