"",BBK01.OEBB20K,BBK01.OEBB20K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:15,
2002-01,3.979,
2002-04,4.061,
2002-07,4.096,
2002-10,4.227,
2003-01,4.290,
2003-04,4.345,
2003-07,4.863,
2003-10,4.582,
2004-01,5.101,
2004-04,4.772,
2004-07,4.828,
2004-10,5.225,
2005-01,5.427,
2005-04,5.421,
2005-07,5.704,
2005-10,5.830,
2006-01,5.858,
2006-04,5.900,
2006-07,5.952,
2006-10,6.105,
2007-01,6.006,
2007-04,6.004,
2007-07,6.030,
2007-10,5.926,
2008-01,5.892,
2008-04,6.032,
2008-07,6.080,
2008-10,6.284,
2009-01,6.296,
2009-04,7.661,
2009-07,7.616,
2009-10,7.574,
2010-01,7.446,
2010-04,7.401,
2010-07,7.254,
2010-10,7.381,
2011-01,7.008,
2011-04,6.980,
2011-07,7.038,
2011-10,7.082,
2012-01,7.102,
2012-04,7.180,
2012-07,7.174,
2012-10,7.228,
2013-01,7.316,
2013-04,7.457,
2013-07,7.546,
2013-10,7.656,
2014-01,7.775,
2014-04,8.120,
2014-07,8.295,
