"",BBK01.OELL01V,BBK01.OELL01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:44,
2002-01,5.581,
2002-04,5.475,
2002-07,5.554,
2002-10,5.764,
2003-01,5.778,
2003-04,5.687,
2003-07,5.692,
2003-10,5.777,
2004-01,5.707,
2004-04,5.684,
2004-07,5.633,
2004-10,5.966,
2005-01,5.990,
2005-04,5.956,
2005-07,5.897,
2005-10,6.052,
2006-01,6.014,
2006-04,5.998,
2006-07,5.982,
2006-10,5.867,
2007-01,5.854,
2007-04,5.894,
2007-07,5.928,
2007-10,6.073,
2008-01,6.089,
2008-04,6.070,
2008-07,5.865,
2008-10,6.135,
2009-01,6.116,
2009-04,6.133,
2009-07,6.137,
2009-10,6.269,
2010-01,6.314,
2010-04,6.370,
2010-07,6.428,
2010-10,6.328,
2011-01,6.281,
2011-04,6.509,
2011-07,6.537,
2011-10,6.696,
2012-01,6.714,
2012-04,6.717,
2012-07,6.780,
2012-10,6.899,
2013-01,7.089,
2013-04,7.147,
2013-07,7.167,
2013-10,7.343,
2014-01,7.316,
2014-04,7.342,
2014-07,7.416,
