"",BBK01.OEHB03N,BBK01.OEHB03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:06,
2002-01,9.741,
2002-04,9.769,
2002-07,9.778,
2002-10,9.861,
2003-01,9.897,
2003-04,9.920,
2003-07,9.880,
2003-10,9.839,
2004-01,9.825,
2004-04,9.618,
2004-07,9.525,
2004-10,9.279,
2005-01,9.007,
2005-04,8.958,
2005-07,8.962,
2005-10,8.852,
2006-01,8.827,
2006-04,8.923,
2006-07,8.920,
2006-10,8.949,
2007-01,9.045,
2007-04,9.238,
2007-07,9.390,
2007-10,9.726,
2008-01,9.882,
2008-04,10.053,
2008-07,10.361,
2008-10,10.363,
2009-01,10.425,
2009-04,11.293,
2009-07,11.836,
2009-10,11.984,
2010-01,11.971,
2010-04,12.132,
2010-07,12.465,
2010-10,12.432,
2011-01,12.345,
2011-04,12.680,
2011-07,12.970,
2011-10,12.953,
2012-01,12.916,
2012-04,12.377,
2012-07,12.203,
2012-10,12.335,
2013-01,12.481,
2013-04,12.330,
2013-07,12.126,
2013-10,12.021,
2014-01,11.707,
2014-04,11.727,
2014-07,11.829,
