"",BBFN1.M.DE.N.1.A.NL.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NL.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Netherlands,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:11:45,
1994-12,10.579,
1995-01,10.931,
1995-02,11.172,
1995-03,11.868,
1995-04,12.415,
1995-05,12.149,
1995-06,11.826,
1995-07,10.937,
1995-08,11.181,
1995-09,11.654,
1995-10,12.491,
1995-11,12.770,
1995-12,11.059,
1996-01,11.491,
1996-02,12.202,
1996-03,13.033,
1996-04,12.295,
1996-05,11.952,
1996-06,11.545,
1996-07,11.156,
1996-08,10.655,
1996-09,10.365,
1996-10,9.909,
1996-11,9.944,
1996-12,9.953,
1997-01,11.043,
1997-02,10.635,
1997-03,10.766,
1997-04,11.367,
1997-05,10.778,
1997-06,10.865,
1997-07,10.864,
1997-08,10.681,
1997-09,10.854,
1997-10,10.826,
1997-11,10.845,
1997-12,10.910,
1998-01,10.865,
1998-02,11.187,
1998-03,11.016,
1998-04,11.011,
1998-05,11.110,
1998-06,11.303,
1998-07,10.966,
1998-08,11.254,
1998-09,11.545,
1998-10,12.400,
1998-11,12.139,
1998-12,12.018,
1999-01,12.812,
1999-02,13.866,
1999-03,16.086,
1999-04,16.609,
1999-05,17.415,
1999-06,18.952,
1999-07,19.125,
1999-08,19.267,
1999-09,19.486,
1999-10,17.371,
1999-11,17.535,
1999-12,16.683,
2000-01,17.614,
2000-02,18.413,
2000-03,18.222,
2000-04,17.683,
2000-05,17.515,
2000-06,16.839,
2000-07,15.313,
2000-08,16.161,
2000-09,15.207,
2000-10,15.093,
2000-11,16.751,
2000-12,16.506,
2001-01,16.063,
2001-02,18.499,
2001-03,18.415,
2001-04,17.229,
2001-05,18.196,
2001-06,17.479,
2001-07,16.720,
2001-08,16.187,
2001-09,16.141,
2001-10,16.106,
2001-11,15.815,
2001-12,16.775,
2002-01,18.383,
2002-02,18.232,
2002-03,20.628,
2002-04,17.690,
2002-05,18.734,
2002-06,18.097,
2002-07,18.937,
2002-08,18.532,
2002-09,17.810,
2002-10,18.999,
2002-11,19.230,
2002-12,22.175,
2003-01,21.400,
2003-02,22.165,
2003-03,20.718,
2003-04,21.582,
2003-05,22.868,
2003-06,23.460,
2003-07,23.542,
2003-08,22.588,
2003-09,22.472,
2003-10,22.615,
2003-11,23.735,
2003-12,22.985,
2004-01,23.426,
2004-02,24.732,
2004-03,25.017,
2004-04,24.660,
2004-05,24.285,
2004-06,25.650,
2004-07,25.454,
2004-08,25.953,
2004-09,25.964,
2004-10,25.823,
2004-11,25.013,
2004-12,25.557,
2005-01,24.991,
2005-02,26.522,
2005-03,26.448,
2005-04,26.447,
2005-05,25.872,
2005-06,24.995,
2005-07,25.526,
2005-08,26.192,
2005-09,25.136,
2005-10,25.442,
2005-11,26.338,
2005-12,28.009,
2006-01,28.236,
2006-02,29.651,
2006-03,29.723,
2006-04,31.549,
2006-05,32.472,
2006-06,32.839,
2006-07,32.021,
2006-08,33.109,
2006-09,33.965,
2006-10,34.084,
2006-11,32.171,
2006-12,32.415,
2007-01,38.040,
2007-02,34.533,
2007-03,34.939,
2007-04,36.661,
2007-05,35.634,
2007-06,35.184,
2007-07,35.709,
2007-08,36.411,
2007-09,37.495,
2007-10,38.373,
2007-11,36.384,
2007-12,34.930,
2008-01,34.238,
2008-02,37.230,
2008-03,39.936,
2008-04,41.323,
2008-05,43.150,
2008-06,40.791,
2008-07,41.017,
2008-08,40.489,
2008-09,40.161,
2008-10,40.825,
2008-11,43.732,
2008-12,41.439,
2009-01,40.084,
2009-02,38.960,
2009-03,42.945,
2009-04,42.047,
2009-05,39.407,
2009-06,40.000,
2009-07,39.577,
2009-08,38.443,
2009-09,39.243,
2009-10,42.362,
2009-11,44.319,
2009-12,44.005,
2010-01,45.115,
2010-02,45.379,
2010-03,46.639,
2010-04,47.384,
2010-05,48.245,
2010-06,52.635,
2010-07,50.358,
2010-08,51.903,
2010-09,52.115,
2010-10,52.212,
2010-11,53.483,
2010-12,52.926,
2011-01,54.706,
2011-02,55.383,
2011-03,57.581,
2011-04,56.756,
2011-05,57.943,
2011-06,61.891,
2011-07,62.358,
2011-08,63.996,
2011-09,65.281,
2011-10,64.671,
2011-11,61.741,
2011-12,62.107,
2012-01,62.502,
2012-02,63.171,
2012-03,66.247,
2012-04,66.456,
2012-05,67.253,
2012-06,68.268,
2012-07,67.776,
2012-08,68.552,
2012-09,69.337,
2012-10,69.258,
2012-11,73.128,
2012-12,71.375,
2013-01,74.138,
2013-02,74.074,
2013-03,77.594,
2013-04,77.419,
2013-05,78.539,
2013-06,79.508,
2013-07,78.376,
2013-08,79.447,
2013-09,82.445,
2013-10,81.539,
2013-11,83.007,
2013-12,81.219,
2014-01,82.025,
2014-02,81.555,
2014-03,82.930,
2014-04,82.719,
2014-05,83.722,
2014-06,83.130,
2014-07,82.805,
2014-08,85.191,
2014-09,84.497,
2014-10,83.673,
2014-11,81.150,
2014-12,85.462,
