"",BBFB1.Q.N.DE.W1.S12T.S1.T.L.FA.O.F2.T._T.N.N,BBFB1.Q.N.DE.W1.S12T.S1.T.L.FA.O.F2.T._T.N.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Currency and deposits / Monetary financial institutions / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:58:42,
1991-01,9858.805,
1991-04,-4443.235,
1991-07,-1293.267,
1991-10,3620.803,
1992-01,11111.459,
1992-04,5599.577,
1992-07,20214.467,
1992-10,626.004,
1993-01,6882.832,
1993-04,4690.607,
1993-07,5711.247,
1993-10,12727.706,
1994-01,14934.144,
1994-04,8969.978,
1994-07,12046.194,
1994-10,21100.132,
1995-01,22461.868,
1995-04,20306.310,
1995-07,14116.813,
1995-10,4617.874,
1996-01,10535.795,
1996-04,8753.021,
1996-07,-8364.965,
1996-10,17425.541,
1997-01,46783.938,
1997-04,28013.262,
1997-07,-807.468,
1997-10,30458.363,
1998-01,44188.907,
1998-04,39148.866,
1998-07,4383.698,
1998-10,55152.473,
1999-01,48236.784,
1999-04,14401.675,
1999-07,16832.312,
1999-10,15923.274,
2000-01,78187.313,
2000-04,6886.711,
2000-07,3369.118,
2000-10,26850.713,
2001-01,131165.002,
2001-04,-24758.344,
2001-07,-7637.527,
2001-10,-44427.671,
2002-01,13908.292,
2002-04,5532.803,
2002-07,28441.322,
2002-10,-19429.242,
2003-01,41348.906,
2003-04,-460.408,
2003-07,-9427.883,
2003-10,-20759.794,
2004-01,57875.143,
2004-04,-52841.170,
2004-07,28076.396,
2004-10,-816.863,
2005-01,64367.756,
2005-04,-17797.098,
2005-07,3196.183,
2005-10,-27316.026,
2006-01,58854.421,
2006-04,971.441,
2006-07,12137.943,
2006-10,-14422.288,
2007-01,38508.698,
2007-04,26047.513,
2007-07,53660.366,
2007-10,-45119.546,
2008-01,97761.859,
2008-04,-30317.726,
2008-07,27949.207,
2008-10,-154877.305,
2009-01,-21131.332,
2009-04,-11672.842,
2009-07,-45875.586,
2009-10,-37226.760,
2010-01,51718.199,
2010-04,72912.023,
2010-07,794.688,
2010-10,-49106.766,
2011-01,-39295.454,
2011-04,-30442.369,
2011-07,83875.367,
2011-10,-111012.729,
2012-01,249910.322,
2012-04,-52640.509,
2012-07,-15122.903,
2012-10,-130908.314,
2013-01,-8850.302,
2013-04,-14121.337,
2013-07,-64992.725,
2013-10,-70223.834,
2014-01,32357.894,
2014-04,3727.230,
2014-07,29696.903,
