"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.CH.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.CH.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Switzerland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:01,
2009-09,5510,
2009-10,5378,
2009-11,5385,
2009-12,5677,
2010-01,5990,
2010-02,6216,
2010-03,6589,
2010-04,6216,
2010-05,6061,
2010-06,6312,
2010-07,6076,
2010-08,6423,
2010-09,6460,
2010-10,6526,
2010-11,6828,
2010-12,7342,
2011-01,6831,
2011-02,6764,
2011-03,6449,
2011-04,6668,
2011-05,7003,
2011-06,6606,
2011-07,6586,
2011-08,6289,
2011-09,5957,
2011-10,10175,
2011-11,6529,
2011-12,6675,
2012-01,7048,
2012-02,7182,
2012-03,7387,
2012-04,7404,
2012-05,7135,
2012-06,7175,
2012-07,7561,
2012-08,7637,
2012-09,6799,
2012-10,6918,
2012-11,6910,
2012-12,6899,
2013-01,7111,
2013-02,7392,
2013-03,7640,
2013-04,7801,
2013-05,7792,
2013-06,7651,
2013-07,7841,
2013-08,7920,
2013-09,8251,
2013-10,8483,
2013-11,8569,
2013-12,8470,
2014-01,8507,
2014-02,8897,
2014-03,8776,
2014-04,8686,
2014-05,8955,
2014-06,8901,
2014-07,8800,
2014-08,9027,
2014-09,9157,
2014-10,9145,
2014-11,9335,
