"",BBSF2.M.1.P.00000.IMM01.I.F.UBS.U3.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.UBS.U3.00000.000000.Z01.00_FLAGS
"",Public funds / Real estate funds / Properties / EU member states not belonging to the Euro area,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:31,
2009-09,6,
2009-10,7,
2009-11,8,
2009-12,9,
2010-01,21,
2010-02,23,
2010-03,27,
2010-04,29,
2010-05,29,
2010-06,35,
2010-07,38,
2010-08,41,
2010-09,44,
2010-10,47,
2010-11,51,
2010-12,82,
2011-01,88,
2011-02,62,
2011-03,73,
2011-04,76,
2011-05,79,
2011-06,172,
2011-07,180,
2011-08,180,
2011-09,248,
2011-10,247,
2011-11,256,
2011-12,214,
2012-01,218,
2012-02,220,
2012-03,234,
2012-04,249,
2012-05,262,
2012-06,266,
2012-07,283,
2012-08,282,
2012-09,212,
2012-10,214,
2012-11,218,
2012-12,217,
2013-01,205,
2013-02,134,
2013-03,137,
2013-04,134,
2013-05,135,
2013-06,23,
2013-07,23,
2013-08,28,
2013-09,32,
2013-10,34,
2013-11,38,
2013-12,41,
2014-01,44,
2014-02,45,
2014-03,47,
2014-04,48,
2014-05,50,
2014-06,52,
2014-07,53,
2014-08,53,
2014-09,55,
2014-10,261,
2014-11,261,
