"",BBK01.OEAF40O,BBK01.OEAF40O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:07,
2002-01,0.038,
2002-04,0.042,
2002-07,0.042,
2002-10,0.039,
2003-01,0.037,
2003-04,0.048,
2003-07,0.047,
2003-10,0.044,
2004-01,0.045,
2004-04,0.044,
2004-07,0.045,
2004-10,0.045,
2005-01,0.043,
2005-04,0.086,
2005-07,0.075,
2005-10,0.079,
2006-01,0.088,
2006-04,0.087,
2006-07,0.088,
2006-10,0.096,
2007-01,0.098,
2007-04,0.101,
2007-07,0.103,
2007-10,0.097,
2008-01,0.096,
2008-04,0.094,
2008-07,0.095,
2008-10,0.059,
2009-01,0.055,
2009-04,0.066,
2009-07,0.066,
2009-10,0.066,
2010-01,0.066,
2010-04,0.066,
2010-07,0.065,
2010-10,0.067,
2011-01,0.065,
2011-04,0.062,
2011-07,0.064,
2011-10,0.064,
2012-01,0.062,
2012-04,0.059,
2012-07,0.057,
2012-10,0.053,
2013-01,0.052,
2013-04,0.051,
2013-07,0.050,
2013-10,0.055,
2014-01,0.059,
2014-04,0.057,
2014-07,0.051,
