"",BBK01.OEAE11Q,BBK01.OEAE11Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:22,
2002-01,0.499,
2002-04,0.507,
2002-07,0.517,
2002-10,0.550,
2003-01,0.551,
2003-04,0.837,
2003-07,0.751,
2003-10,0.825,
2004-01,0.614,
2004-04,0.394,
2004-07,0.395,
2004-10,0.348,
2005-01,0.383,
2005-04,0.381,
2005-07,0.414,
2005-10,0.414,
2006-01,0.384,
2006-04,0.324,
2006-07,0.310,
2006-10,0.324,
2007-01,0.303,
2007-04,0.321,
2007-07,0.326,
2007-10,0.326,
2008-01,0.323,
2008-04,0.417,
2008-07,0.309,
2008-10,0.331,
2009-01,0.496,
2009-04,0.493,
2009-07,0.486,
2009-10,0.472,
2010-01,0.442,
2010-04,0.431,
2010-07,0.337,
2010-10,0.354,
2011-01,0.336,
2011-04,0.371,
2011-07,0.370,
2011-10,0.384,
2012-01,0.379,
2012-04,0.370,
2012-07,0.370,
2012-10,0.365,
2013-01,0.382,
2013-04,0.373,
2013-07,0.381,
2013-10,0.383,
2014-01,0.347,
2014-04,0.358,
2014-07,0.365,
