"",BBFB1.Q.N.DE.B2.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:42,
1991-01,1830.931,
1991-04,31.876,
1991-07,851.939,
1991-10,1028.767,
1992-01,-181.000,
1992-04,-119.093,
1992-07,1785.493,
1992-10,2058.921,
1993-01,17.468,
1993-04,1203.411,
1993-07,2110.856,
1993-10,2892.098,
1994-01,-477.136,
1994-04,-733.774,
1994-07,-135.696,
1994-10,987.083,
1995-01,449.818,
1995-04,-1033.650,
1995-07,685.886,
1995-10,2918.936,
1996-01,-1652.758,
1996-04,298.343,
1996-07,1435.284,
1996-10,1422.147,
1997-01,-1489.764,
1997-04,-72.615,
1997-07,-698.620,
1997-10,251.718,
1998-01,144.162,
1998-04,2876.585,
1998-07,4070.229,
1998-10,-2137.109,
1999-01,-122.032,
1999-04,340.747,
1999-07,-1748.282,
1999-10,-2168.642,
2000-01,2036.473,
2000-04,98.574,
2000-07,1140.973,
2000-10,1152.167,
2001-01,5432.840,
2001-04,2181.604,
2001-07,2040.332,
2001-10,2227.714,
2002-01,2527.740,
2002-04,152.158,
2002-07,2634.814,
2002-10,-307.760,
2003-01,-1550.294,
2003-04,1453.242,
2003-07,1319.139,
2003-10,2183.763,
2004-01,1840.439,
2004-04,2207.714,
2004-07,-2077.765,
2004-10,910.860,
2005-01,9554.226,
2005-04,1574.397,
2005-07,7043.875,
2005-10,6221.648,
2006-01,2537.210,
2006-04,4156.725,
2006-07,3785.639,
2006-10,16172.098,
2007-01,1316.489,
2007-04,1766.639,
2007-07,7135.621,
2007-10,7439.156,
2008-01,9763.404,
2008-04,7.124,
2008-07,4697.832,
2008-10,8205.533,
2009-01,2329.890,
2009-04,2489.007,
2009-07,452.467,
2009-10,-53.424,
2010-01,-692.997,
2010-04,-1409.097,
2010-07,-1725.460,
2010-10,-43.552,
2011-01,-3183.462,
2011-04,-4261.167,
2011-07,-390.586,
2011-10,1610.038,
2012-01,10040.227,
2012-04,8618.643,
2012-07,1341.474,
2012-10,8367.531,
2013-01,-4426.964,
2013-04,-713.193,
2013-07,-1001.830,
2013-10,-7331.010,
2014-01,-4634.443,Provisional value
2014-04,-710.528,Provisional value
2014-07,-1713.444,Provisional value
2014-10,-824.177,Provisional value
