"",BBSF2.M.1.S.I0000.DAC01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0000.DAC01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Net asset value / Domestic investors total / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:13,
1999-01,5,
1999-02,5,
1999-03,7,
1999-04,8,
1999-05,8,
1999-06,13,
1999-07,12,
1999-08,15,
1999-09,15,
1999-10,15,
1999-11,32,
1999-12,154,
2000-01,179,
2000-02,214,
2000-03,259,
2000-04,270,
2000-05,268,
2000-06,286,
2000-07,320,
2000-08,422,
2000-09,468,
2000-10,488,
2000-11,479,
2000-12,514,
2001-01,585,
2001-02,612,
2001-03,497,
2001-04,532,
2001-05,552,
2001-06,564,
2001-07,578,
2001-08,602,
2001-09,610,
2001-10,579,
2001-11,615,
2001-12,609,
2002-01,597,
2002-02,638,
2002-03,647,
2002-04,772,
2002-05,791,
2002-06,778,
2002-07,776,
2002-08,783,
2002-09,767,
2002-10,833,
2002-11,835,
2002-12,835,
2003-01,830,
2003-02,973,
2003-03,1009,
2003-04,1028,
2003-05,1079,
2003-06,1129,
2003-07,1189,
2003-08,1202,
2003-09,1233,
2003-10,1321,
2003-11,1305,
2003-12,1334,
2004-01,1372,
2004-02,1396,
2004-03,1421,
2004-04,1429,
2004-05,1485,
2004-06,1536,
2004-07,1536,
2004-08,1574,
2004-09,1544,
2004-10,1549,
2004-11,1643,
2004-12,1692,
2005-01,1869,
2005-02,1926,
2005-03,1953,
2005-04,1962,
2005-05,1968,
2005-06,2027,
2005-07,2024,
2005-08,1978,
2005-09,2118,
2005-10,2036,
2005-11,2147,
2005-12,2232,
2006-01,2456,
2006-02,2440,
2006-03,2697,
2006-04,2746,
2006-05,2827,
2006-06,2743,
2006-07,2865,
2006-08,2955,
2006-09,2995,
2006-10,3041,
2006-11,3105,
2006-12,3102,
2007-01,2831,
2007-02,2848,
2007-03,2940,
2007-04,3001,
2007-05,3082,
2007-06,3022,
2007-07,3094,
2007-08,3043,
2007-09,3044,
2007-10,3099,
2007-11,3018,
2007-12,3056,
2008-01,2974,
2008-02,3045,
2008-03,3030,
2008-04,3087,
2008-05,3082,
2008-06,3042,
2008-07,2950,
2008-08,2909,
2008-09,2848,
2008-10,5797,
2008-11,11626,
2008-12,11646,
2009-01,11604,
2009-02,11175,
2009-03,12291,
2009-04,13292,
2009-05,14500,
2009-06,14721,
2009-07,16157,
2009-08,16588,
2009-09,17988,
2009-10,18335,
2009-11,19820,
2009-12,20648,
2010-01,20757,
2010-02,21137,
2010-03,21889,
2010-04,22297,
2010-05,22025,
2010-06,21953,
2010-07,22552,
2010-08,26316,
2010-09,27689,
2010-10,28186,
2010-11,28549,
2010-12,29177,
2011-01,29347,
2011-02,29586,
2011-03,29808,
2011-04,30245,
2011-05,30279,
2011-06,30412,
2011-07,30716,
2011-08,30128,
2011-09,30387,
2011-10,31436,
2011-11,31016,
2011-12,31931,
2012-01,32860,
2012-02,33548,
2012-03,33906,
2012-04,34126,
2012-05,33841,
2012-06,34525,
2012-07,44246,
2012-08,44235,
2012-09,44645,
2012-10,45421,
2012-11,45858,
2012-12,45987,
2013-01,47118,
2013-02,47512,
2013-03,47892,
2013-04,48928,
2013-05,49038,
2013-06,47869,
2013-07,48286,
2013-08,47795,
2013-09,48702,
2013-10,49720,
2013-11,49926,
2013-12,50548,
2014-01,50581,
2014-02,51412,
2014-03,52268,
2014-04,52744,
2014-05,53632,
2014-06,54484,
2014-07,55120,
2014-08,55571,
2014-09,55483,
2014-10,55780,
2014-11,56492,
