"",BBK01.OEAH84H,BBK01.OEAH84H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:13,
2002-01,8.761,
2002-04,8.751,
2002-07,8.697,
2002-10,8.656,
2003-01,8.598,
2003-04,8.539,
2003-07,8.436,
2003-10,8.387,
2004-01,8.282,
2004-04,8.230,
2004-07,8.155,
2004-10,8.066,
2005-01,7.963,
2005-04,7.864,
2005-07,7.782,
2005-10,7.697,
2006-01,7.646,
2006-04,7.594,
2006-07,7.559,
2006-10,7.504,
2007-01,7.453,
2007-04,7.411,
2007-07,7.283,
2007-10,7.232,
2008-01,7.133,
2008-04,7.111,
2008-07,7.018,
2008-10,6.989,
2009-01,6.934,
2009-04,6.880,
2009-07,6.844,
2009-10,6.801,
2010-01,6.718,
2010-04,6.657,
2010-07,6.605,
2010-10,6.524,
2011-01,6.458,
2011-04,6.375,
2011-07,6.347,
2011-10,6.281,
2012-01,6.199,
2012-04,6.099,
2012-07,6.046,
2012-10,5.950,
2013-01,5.862,
2013-04,5.669,
2013-07,5.629,
2013-10,5.550,
2014-01,5.493,
2014-04,5.403,
2014-07,5.417,
