"",BBK01.OEAE07I,BBK01.OEAE07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:20,
2002-01,1.853,
2002-04,1.884,
2002-07,1.855,
2002-10,2.093,
2003-01,2.073,
2003-04,2.043,
2003-07,1.964,
2003-10,1.978,
2004-01,1.954,
2004-04,1.972,
2004-07,2.092,
2004-10,2.080,
2005-01,2.155,
2005-04,2.183,
2005-07,2.036,
2005-10,1.959,
2006-01,2.171,
2006-04,2.141,
2006-07,2.194,
2006-10,2.144,
2007-01,2.104,
2007-04,2.106,
2007-07,2.062,
2007-10,2.026,
2008-01,1.996,
2008-04,1.988,
2008-07,2.014,
2008-10,2.038,
2009-01,2.096,
2009-04,2.301,
2009-07,2.643,
2009-10,2.512,
2010-01,2.548,
2010-04,2.507,
2010-07,2.492,
2010-10,2.449,
2011-01,2.571,
2011-04,2.556,
2011-07,2.578,
2011-10,2.556,
2012-01,2.617,
2012-04,3.777,
2012-07,3.810,
2012-10,3.886,
2013-01,3.963,
2013-04,3.968,
2013-07,3.984,
2013-10,4.076,
2014-01,4.103,
2014-04,4.115,
2014-07,4.050,
