"",BBFB1.Q.N.DE.F1.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.F1.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:07,
1991-01,48.011,
1991-04,41.596,
1991-07,43.126,
1991-10,43.387,
1992-01,49.167,
1992-04,50.312,
1992-07,50.858,
1992-10,52.998,
1993-01,43.915,
1993-04,41.914,
1993-07,39.956,
1993-10,47.182,
1994-01,53.826,
1994-04,57.909,
1994-07,63.803,
1994-10,69.814,
1995-01,71.409,
1995-04,70.593,
1995-07,66.815,
1995-10,71.417,
1996-01,57.647,
1996-04,58.744,
1996-07,62.695,
1996-10,72.580,
1997-01,90.938,
1997-04,97.705,
1997-07,94.652,
1997-10,104.550,
1998-01,104.090,
1998-04,105.665,
1998-07,106.309,
1998-10,112.077,
1999-01,223.736,
1999-04,116.963,
1999-07,114.322,
1999-10,127.269,
2000-01,150.051,
2000-04,165.306,
2000-07,162.458,
2000-10,157.857,
2001-01,146.883,
2001-04,129.875,
2001-07,112.907,
2001-10,106.195,
2002-01,108.702,
2002-04,102.903,
2002-07,94.571,
2002-10,93.910,
2003-01,89.578,
2003-04,88.547,
2003-07,79.947,
2003-10,91.901,
2004-01,77.866,
2004-04,85.402,
2004-07,101.537,
2004-10,128.729,
2005-01,160.932,
2005-04,201.879,
2005-07,230.348,
2005-10,259.037,
2006-01,294.352,
2006-04,308.721,
2006-07,324.979,
2006-10,328.216,
2007-01,338.149,
2007-04,330.739,
2007-07,292.882,
2007-10,282.243,
2008-01,275.262,
2008-04,227.983,
2008-07,196.788,
2008-10,185.766,
2009-01,140.983,
2009-04,120.987,
2009-07,83.814,
2009-10,70.033,
2010-01,111.512,
2010-04,99.081,
2010-07,84.112,
2010-10,81.590,
2011-01,117.042,
2011-04,143.926,
2011-07,155.257,
2011-10,166.921,
2012-01,156.039,
2012-04,155.186,
2012-07,123.712,
2012-10,105.533,
2013-01,138.854,
2013-04,156.441,
2013-07,137.754,
2013-10,126.549,
2014-01,130.949,Provisional value
2014-04,147.724,Provisional value
2014-07,131.813,Provisional value
