"",BBK01.OEAE29Q,BBK01.OEAE29Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:29,
2002-01,3.964,
2002-04,4.040,
2002-07,4.050,
2002-10,4.182,
2003-01,4.195,
2003-04,4.243,
2003-07,4.235,
2003-10,4.339,
2004-01,4.162,
2004-04,2.694,
2004-07,2.715,
2004-10,2.803,
2005-01,2.761,
2005-04,2.790,
2005-07,2.795,
2005-10,2.777,
2006-01,2.845,
2006-04,3.301,
2006-07,3.362,
2006-10,3.566,
2007-01,3.564,
2007-04,3.542,
2007-07,3.586,
2007-10,3.815,
2008-01,3.819,
2008-04,3.826,
2008-07,3.901,
2008-10,3.937,
2009-01,5.169,
2009-04,5.195,
2009-07,5.289,
2009-10,5.278,
2010-01,5.705,
2010-04,5.696,
2010-07,5.601,
2010-10,5.566,
2011-01,5.352,
2011-04,5.021,
2011-07,4.836,
2011-10,4.969,
2012-01,4.986,
2012-04,5.007,
2012-07,5.013,
2012-10,5.204,
2013-01,5.205,
2013-04,5.156,
2013-07,5.159,
2013-10,5.258,
2014-01,5.185,
2014-04,5.222,
2014-07,5.299,
