"",BBK01.OEAH98H,BBK01.OEAH98H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:19,
2002-01,0.084,
2002-04,0.093,
2002-07,0.093,
2002-10,0.099,
2003-01,0.096,
2003-04,0.126,
2003-07,0.138,
2003-10,0.617,
2004-01,0.151,
2004-04,0.165,
2004-07,0.169,
2004-10,0.134,
2005-01,0.207,
2005-04,0.227,
2005-07,0.197,
2005-10,0.197,
2006-01,0.722,
2006-04,0.700,
2006-07,0.657,
2006-10,0.600,
2007-01,0.550,
2007-04,2.142,
2007-07,2.139,
2007-10,1.897,
2008-01,1.656,
2008-04,1.583,
2008-07,1.407,
2008-10,1.347,
2009-01,1.291,
2009-04,1.149,
2009-07,1.113,
2009-10,1.059,
2010-01,0.990,
2010-04,0.946,
2010-07,0.905,
2010-10,0.812,
2011-01,0.758,
2011-04,0.717,
2011-07,0.654,
2011-10,0.565,
2012-01,0.515,
2012-04,0.495,
2012-07,0.493,
2012-10,0.466,
2013-01,0.415,
2013-04,0.392,
2013-07,0.378,
2013-10,0.352,
2014-01,0.332,
2014-04,0.319,
2014-07,0.148,
