"",BBK01.OELK01M,BBK01.OELK01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:11,
2002-01,2.610,
2002-04,2.508,
2002-07,2.530,
2002-10,2.602,
2003-01,2.484,
2003-04,2.440,
2003-07,2.432,
2003-10,2.593,
2004-01,2.467,
2004-04,2.450,
2004-07,2.472,
2004-10,2.663,
2005-01,2.624,
2005-04,2.622,
2005-07,2.643,
2005-10,2.894,
2006-01,2.732,
2006-04,2.755,
2006-07,2.813,
2006-10,3.096,
2007-01,2.946,
2007-04,2.983,
2007-07,3.035,
2007-10,3.464,
2008-01,3.227,
2008-04,3.165,
2008-07,3.220,
2008-10,3.684,
2009-01,3.361,
2009-04,3.316,
2009-07,3.355,
2009-10,3.588,
2010-01,3.455,
2010-04,3.420,
2010-07,3.514,
2010-10,3.759,
2011-01,3.549,
2011-04,3.461,
2011-07,3.643,
2011-10,4.112,
2012-01,4.004,
2012-04,3.980,
2012-07,4.141,
2012-10,4.426,
2013-01,4.191,
2013-04,4.138,
2013-07,4.217,
2013-10,4.555,
2014-01,4.354,
2014-04,4.270,
2014-07,4.403,
