"",BBK01.OEYI10L,BBK01.OEYI10L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:34,
2002-01,2.382,
2002-04,2.358,
2002-07,2.359,
2002-10,2.360,
2003-01,2.389,
2003-04,2.349,
2003-07,2.352,
2003-10,2.332,
2004-01,2.336,
2004-04,2.303,
2004-07,2.298,
2004-10,2.264,
2005-01,2.270,
2005-04,2.231,
2005-07,0.971,
2005-10,0.966,
2006-01,0.926,
2006-04,0.924,
2006-07,0.914,
2006-10,0.910,
2007-01,0.868,
2007-04,0.866,
2007-07,0.852,
2007-10,0.850,
2008-01,0.970,
2008-04,0.858,
2008-07,0.825,
2008-10,0.783,
2009-01,0.764,
2009-04,0.744,
2009-07,0.733,
2009-10,0.729,
2010-01,0.705,
2010-04,0.690,
2010-07,0.700,
2010-10,0.698,
2011-01,0.673,
2011-04,0.649,
2011-07,0.643,
2011-10,0.653,
2012-01,0.622,
2012-04,0.598,
2012-07,0.594,
2012-10,0.593,
2013-01,0.610,
2013-04,0.595,
2013-07,0.590,
2013-10,0.614,
2014-01,0.581,
2014-04,0.556,
2014-07,0.554,
