"",BBFN1.M.DE.N.1.A.SG.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SG.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Singapore,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:06,
1994-07,0.549,
1994-08,0.650,
1994-09,0.703,
1994-10,0.668,
1994-11,0.643,
1994-12,0.649,
1995-01,0.662,
1995-02,0.585,
1995-03,0.630,
1995-04,0.639,
1995-05,0.638,
1995-06,0.660,
1995-07,0.739,
1995-08,0.752,
1995-09,0.786,
1995-10,0.799,
1995-11,0.761,
1995-12,0.756,
1996-01,0.784,
1996-02,0.801,
1996-03,0.806,
1996-04,0.797,
1996-05,0.792,
1996-06,0.801,
1996-07,0.798,
1996-08,0.803,
1996-09,0.785,
1996-10,0.819,
1996-11,0.911,
1996-12,0.837,
1997-01,0.848,
1997-02,0.874,
1997-03,0.848,
1997-04,0.898,
1997-05,0.937,
1997-06,0.960,
1997-07,1.055,
1997-08,1.018,
1997-09,1.080,
1997-10,1.094,
1997-11,1.055,
1997-12,1.135,
1998-01,1.071,
1998-02,1.049,
1998-03,1.068,
1998-04,1.049,
1998-05,1.055,
1998-06,0.998,
1998-07,0.982,
1998-08,0.963,
1998-09,1.030,
1998-10,1.047,
1998-11,0.980,
1998-12,0.964,
1999-01,0.948,
1999-02,0.944,
1999-03,0.958,
1999-04,1.090,
1999-05,1.017,
1999-06,0.986,
1999-07,0.991,
1999-08,1.044,
1999-09,1.033,
1999-10,1.200,
1999-11,1.279,
1999-12,1.314,
2000-01,1.279,
2000-02,1.272,
2000-03,1.319,
2000-04,1.292,
2000-05,1.421,
2000-06,1.561,
2000-07,1.506,
2000-08,1.578,
2000-09,1.616,
2000-10,1.525,
2000-11,1.515,
2000-12,1.522,
2001-01,1.523,
2001-02,1.507,
2001-03,1.482,
2001-04,1.513,
2001-05,1.495,
2001-06,1.441,
2001-07,1.356,
2001-08,1.346,
2001-09,1.380,
2001-10,1.331,
2001-11,1.347,
2001-12,1.408,
2002-01,1.273,
2002-02,1.346,
2002-03,1.331,
2002-04,1.419,
2002-05,1.504,
2002-06,1.529,
2002-07,1.578,
2002-08,1.562,
2002-09,1.643,
2002-10,1.685,
2002-11,1.685,
2002-12,1.648,
2003-01,1.481,
2003-02,1.412,
2003-03,1.392,
2003-04,1.415,
2003-05,1.453,
2003-06,1.392,
2003-07,1.452,
2003-08,1.374,
2003-09,1.452,
2003-10,1.363,
2003-11,1.451,
2003-12,1.448,
2004-01,1.365,
2004-02,1.443,
2004-03,1.515,
2004-04,1.500,
2004-05,1.532,
2004-06,1.508,
2004-07,1.515,
2004-08,1.620,
2004-09,1.698,
2004-10,1.645,
2004-11,1.592,
2004-12,1.493,
2005-01,1.413,
2005-02,1.395,
2005-03,1.533,
2005-04,1.626,
2005-05,1.596,
2005-06,1.691,
2005-07,1.573,
2005-08,1.597,
2005-09,1.670,
2005-10,1.643,
2005-11,1.667,
2005-12,1.666,
2006-01,1.697,
2006-02,1.703,
2006-03,1.771,
2006-04,1.764,
2006-05,1.932,
2006-06,1.949,
2006-07,1.648,
2006-08,1.757,
2006-09,1.822,
2006-10,1.740,
2006-11,1.833,
2006-12,1.777,
2007-01,1.676,
2007-02,1.765,
2007-03,1.841,
2007-04,1.768,
2007-05,1.748,
2007-06,1.897,
2007-07,1.858,
2007-08,1.854,
2007-09,2.049,
2007-10,2.063,
2007-11,1.964,
2007-12,1.844,
2008-01,1.798,
2008-02,1.815,
2008-03,1.917,
2008-04,1.879,
2008-05,1.858,
2008-06,1.826,
2008-07,1.905,
2008-08,2.056,
2008-09,1.870,
2008-10,1.915,
2008-11,1.684,
2008-12,1.583,
2009-01,1.422,
2009-02,1.357,
2009-03,1.407,
2009-04,1.510,
2009-05,1.536,
2009-06,1.476,
2009-07,1.549,
2009-08,1.592,
2009-09,1.611,
2009-10,1.658,
2009-11,1.728,
2009-12,1.596,
2010-01,1.669,
2010-02,1.727,
2010-03,1.912,
2010-04,2.018,
2010-05,2.315,
2010-06,2.295,
2010-07,2.322,
2010-08,2.336,
2010-09,2.248,
2010-10,2.208,
2010-11,2.308,
2010-12,2.314,
2011-01,2.329,
2011-02,2.267,
2011-03,2.374,
2011-04,2.397,
2011-05,2.698,
2011-06,2.539,
2011-07,2.351,
2011-08,2.212,
2011-09,2.375,
2011-10,2.474,
2011-11,2.353,
2011-12,2.414,
2012-01,2.439,
2012-02,2.237,
2012-03,2.574,
2012-04,2.499,
2012-05,2.779,
2012-06,3.155,
2012-07,2.686,
2012-08,2.570,
2012-09,2.550,
2012-10,2.500,
2012-11,2.387,
2012-12,2.442,
2013-01,2.357,
2013-02,2.253,
2013-03,2.619,
2013-04,2.474,
2013-05,2.466,
2013-06,2.751,
2013-07,2.653,
2013-08,2.629,
2013-09,2.673,
2013-10,2.693,
2013-11,2.770,
2013-12,2.727,
2014-01,2.430,
2014-02,2.421,
2014-03,2.584,
2014-04,2.508,
2014-05,2.514,
2014-06,2.570,
2014-07,2.701,
2014-08,2.657,
2014-09,2.786,
2014-10,2.786,
2014-11,2.663,
2014-12,2.811,
