"",BBK01.CEFP0N,BBK01.CEFP0N_FLAGS
"",Time deposits                                                    debtor: Total           creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:11,
1999-01,558.0,
1999-04,576.4,
1999-07,605.7,
1999-10,668.6,
2000-01,700.3,
2000-04,697.9,
2000-07,716.4,
2000-10,740.5,
2001-01,831.4,
2001-04,831.6,
2001-07,813.5,
2001-10,835.5,
2002-01,821.2,
2002-04,768.2,
2002-07,785.0,
2002-10,786.2,
2003-01,774.1,
2003-04,748.1,
2003-07,740.1,
2003-10,757.5,
2004-01,751.0,
2004-04,707.0,
2004-07,724.8,
2004-10,773.4,
2005-01,755.0,
2005-04,745.5,
2005-07,758.3,
2005-10,786.0,
2006-01,778.1,
2006-04,739.0,
2006-07,754.9,
2006-10,736.7,
2007-01,731.4,
2007-04,726.2,
2007-07,770.9,
2007-10,787.0,
2008-01,773.8,
2008-04,733.4,
2008-07,760.7,
2008-10,660.1,
2009-01,588.6,
2009-04,588.8,
2009-07,568.0,
2009-10,556.0,
2010-01,545.0,
2010-04,569.3,
2010-07,590.7,
2010-10,601.2,
2011-01,548.1,
2011-04,503.7,
2011-07,549.0,
2011-10,521.0,
2012-01,616.8,
2012-04,590.2,
2012-07,547.5,
2012-10,506.1,
2013-01,504.3,
2013-04,483.0,
2013-07,505.3,
2013-10,479.3,
2014-01,484.9,
2014-04,456.1,
2014-07,488.7,
