"",BBK01.OEHB19G,BBK01.OEHB19G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:09,
2002-01,2.116,
2002-04,2.072,
2002-07,2.062,
2002-10,2.100,
2003-01,1.961,
2003-04,1.921,
2003-07,1.936,
2003-10,1.910,
2004-01,1.814,
2004-04,1.796,
2004-07,1.769,
2004-10,1.746,
2005-01,1.680,
2005-04,1.758,
2005-07,1.780,
2005-10,1.776,
2006-01,1.733,
2006-04,1.710,
2006-07,1.704,
2006-10,1.668,
2007-01,1.610,
2007-04,1.567,
2007-07,1.551,
2007-10,1.531,
2008-01,1.518,
2008-04,1.500,
2008-07,1.487,
2008-10,1.476,
2009-01,1.410,
2009-04,1.424,
2009-07,1.459,
2009-10,1.462,
2010-01,1.427,
2010-04,1.446,
2010-07,1.491,
2010-10,1.504,
2011-01,1.476,
2011-04,1.477,
2011-07,1.507,
2011-10,1.502,
2012-01,1.517,
2012-04,1.525,
2012-07,1.536,
2012-10,1.541,
2013-01,1.539,
2013-04,1.549,
2013-07,1.569,
2013-10,1.558,
2014-01,1.523,
2014-04,1.523,
2014-07,1.518,
