"",BBSF2.M.1.S.00000.TOT01.A.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.A.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Net sales receipts / Not defined / Distribution funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:32,
1993-04,-177,
1993-05,1046,
1993-06,847,
1993-07,1710,
1993-08,2279,
1993-09,1046,
1993-10,1994,
1993-11,1326,
1993-12,4412,
1994-01,2963,
1994-02,2465,
1994-03,1865,
1994-04,3408,
1994-05,1208,
1994-06,2682,
1994-07,1780,
1994-08,1260,
1994-09,-38,
1994-10,1810,
1994-11,276,
1994-12,3611,
1995-01,2263,
1995-02,1752,
1995-03,1909,
1995-04,798,
1995-05,461,
1995-06,460,
1995-07,1397,
1995-08,392,
1995-09,1848,
1995-10,320,
1995-11,1716,
1995-12,5749,
1996-01,4467,
1996-02,3653,
1996-03,2441,
1996-04,2033,
1996-05,1465,
1996-06,1893,
1996-07,2101,
1996-08,1472,
1996-09,359,
1996-10,3431,
1996-11,1959,
1996-12,6317,
1997-01,5412,
1997-02,4525,
1997-03,3897,
1997-04,3447,
1997-05,1549,
1997-06,6271,
1997-07,4344,
1997-08,4863,
1997-09,3116,
1997-10,4290,
1997-11,1244,
1997-12,11781,
1998-01,7991,
1998-02,4923,
1998-03,5328,
1998-04,4046,
1998-05,4539,
1998-06,3212,
1998-07,5884,
1998-08,6198,
1998-09,4084,
1998-10,3954,
1998-11,2606,
1998-12,13517,
1999-01,7378,
1999-02,4118,
1999-03,3053,
1999-04,5691,
1999-05,5739,
1999-06,2707,
1999-07,3121,
1999-08,3149,
1999-09,1232,
1999-10,3293,
1999-11,3241,
1999-12,16131,
2000-01,7702,
2000-02,-1181,
2000-03,2838,
2000-04,3656,
2000-05,4195,
2000-06,569,
2000-07,3477,
2000-08,2700,
2000-09,3371,
2000-10,2882,
2000-11,812,
2000-12,14194,
2001-01,8400,
2001-02,3262,
2001-03,444,
2001-04,1551,
2001-05,-270,
2001-06,1707,
2001-07,3502,
2001-08,1658,
2001-09,625,
2001-10,3798,
2001-11,954,
2001-12,15617,
2002-01,4091,
2002-02,2403,
2002-03,-1807,
2002-04,6064,
2002-05,2468,
2002-06,2370,
2002-07,1757,
2002-08,2952,
2002-09,2201,
2002-10,5277,
2002-11,2414,
2002-12,2094,
2003-01,4403,
2003-02,1496,
2003-03,2048,
2003-04,2362,
2003-05,2827,
2003-06,1433,
2003-07,112,
2003-08,650,
2003-09,3128,
2003-10,329,
2003-11,782,
2003-12,4140,
2004-01,1530,
2004-02,-38,
2004-03,1574,
2004-04,1571,
2004-05,-1601,
2004-06,505,
2004-07,-1799,
2004-08,-447,
2004-09,-2374,
2004-10,669,
2004-11,1126,
2004-12,6004,
2005-01,3837,
2005-02,2201,
2005-03,2902,
2005-04,910,
2005-05,1152,
2005-06,4099,
2005-07,3013,
2005-08,2183,
2005-09,792,
2005-10,3139,
2005-11,1497,
2005-12,9064,
2006-01,4667,
2006-02,2963,
2006-03,3654,
2006-04,3132,
2006-05,4258,
2006-06,2154,
2006-07,417,
2006-08,239,
2006-09,5068,
2006-10,-462,
2006-11,1241,
2006-12,6133,
2007-01,6243,
2007-02,3587,
2007-03,2965,
2007-04,3555,
2007-05,-3408,
2007-06,387,
2007-07,353,
2007-08,268,
2007-09,-1627,
2007-10,2111,
2007-11,-1903,
2007-12,7837,
2008-01,-6460,
2008-02,392,
2008-03,2280,
2008-04,1919,
2008-05,2497,
2008-06,-2201,
2008-07,1191,
2008-08,2222,
2008-09,3340,
2008-10,-4563,
2008-11,7253,
2008-12,-2284,
2009-01,4978,
2009-02,-2082,
2009-03,2443,
2009-04,-1545,
2009-05,-2976,
2009-06,-1505,
2009-07,4382,
2009-08,772,
2009-09,8539,
2009-10,6828,
2009-11,2599,
2009-12,9181,
2010-01,7138,
2010-02,3015,
2010-03,3685,
2010-04,7170,
2010-05,3558,
2010-06,3076,
2010-07,5084,
2010-08,8329,
2010-09,6441,
2010-10,8990,
2010-11,5849,
2010-12,9391,
2011-01,5113,
2011-02,2443,
2011-03,2221,
2011-04,2596,
2011-05,-1244,
2011-06,2534,
2011-07,3569,
2011-08,1486,
2011-09,724,
2011-10,4497,
2011-11,6621,
2011-12,10382,
2012-01,3013,
2012-02,13938,
2012-03,4186,
2012-04,4622,
2012-05,1517,
2012-06,10001,
2012-07,13141,
2012-08,5290,
2012-09,3296,
2012-10,6131,
2012-11,4696,
2012-12,19413,
2013-01,10609,
2013-02,5543,
2013-03,8416,
2013-04,6767,
2013-05,1771,
2013-06,4440,
2013-07,8817,
2013-08,2753,
2013-09,3803,
2013-10,6727,
2013-11,11812,
2013-12,13611,
2014-01,4059,
2014-02,6391,
2014-03,10647,
2014-04,6800,
2014-05,5116,
2014-06,4501,
2014-07,7268,
2014-08,7389,
2014-09,5556,
2014-10,7996,
2014-11,13414,
