"",BBDE1.M.DE.W.AEM1.A2P320000.F.V.I10.A,BBDE1.M.DE.W.AEM1.A2P320000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, total / At current prices, flows / Germany / Capital goods / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:52,
2010-01,84.5,
2010-02,88.6,
2010-03,102.7,
2010-04,97.3,
2010-05,98.4,
2010-06,103.2,
2010-07,100.3,
2010-08,93.9,
2010-09,104.0,
2010-10,104.4,
2010-11,111.3,
2010-12,105.4,
2011-01,109.5,
2011-02,111.6,
2011-03,120.6,
2011-04,108.7,
2011-05,108.3,
2011-06,111.7,
2011-07,110.3,
2011-08,100.0,
2011-09,110.3,
2011-10,110.1,
2011-11,110.3,
2011-12,105.8,
2012-01,105.6,
2012-02,109.6,
2012-03,121.1,
2012-04,109.9,
2012-05,111.0,
2012-06,112.5,
2012-07,110.9,
2012-08,98.3,
2012-09,109.0,
2012-10,109.7,
2012-11,110.4,
2012-12,107.8,
2013-01,106.0,
2013-02,109.2,
2013-03,122.1,
2013-04,110.8,
2013-05,109.6,
2013-06,117.9,
2013-07,111.5,
2013-08,103.9,
2013-09,114.5,
2013-10,113.0,
2013-11,117.2,
2013-12,111.9,
2014-01,114.6,
2014-02,115.8,
2014-03,127.8,
2014-04,116.4,
2014-05,112.2,
2014-06,118.4,
2014-07,117.5,
2014-08,101.6,
2014-09,117.1,
2014-10,122.9,
2014-11,122.4,
2014-12,120.0,Provisional value
