"",BBAI3.Q.DE.N.V.LE.F332B.SK.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F332B.SK.A1.S.1.N.E.Z_FLAGS
"",Assets / Death benefit funds / Securities other than shares excluding financial derivatives over 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:51,
2005-10,294,
2006-01,258,
2006-04,250,
2006-07,240,
2006-10,305,
2007-01,230,
2007-04,240,
2007-07,235,
2007-10,296,
2008-01,237,
2008-04,223,
2008-07,231,
2008-10,303,
2009-01,234,
2009-04,247,
2009-07,263,
2009-10,330,
2010-01,290,
2010-04,298,
2010-07,297,
2010-10,395,
2011-01,332,
2011-04,364,
2011-07,360,
2011-10,455,
2012-01,411,
2012-04,428,
2012-07,443,
2012-10,536,
2013-01,481,
2013-04,491,
2013-07,508,
2013-10,581,
2014-01,543,
2014-04,557,
2014-07,564,
