"",BBK01.OEAH60I,BBK01.OEAH60I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:41,
2002-01,6.393,
2002-04,5.959,
2002-07,5.091,
2002-10,5.138,
2003-01,4.973,
2003-04,4.566,
2003-07,4.133,
2003-10,3.778,
2004-01,3.268,
2004-04,2.708,
2004-07,2.180,
2004-10,2.618,
2005-01,2.189,
2005-04,2.045,
2005-07,2.026,
2005-10,2.304,
2006-01,2.088,
2006-04,2.052,
2006-07,2.319,
2006-10,2.858,
2007-01,2.976,
2007-04,3.143,
2007-07,3.617,
2007-10,4.103,
2008-01,4.438,
2008-04,4.931,
2008-07,5.219,
2008-10,5.288,
2009-01,4.065,
2009-04,3.258,
2009-07,2.361,
2009-10,1.649,
2010-01,1.364,
2010-04,1.401,
2010-07,1.165,
2010-10,1.070,
2011-01,1.286,
2011-04,1.696,
2011-07,2.057,
2011-10,2.336,
2012-01,2.495,
2012-04,2.384,
2012-07,2.234,
2012-10,1.913,
2013-01,1.489,
2013-04,1.342,
2013-07,1.056,
2013-10,0.984,
2014-01,0.991,
2014-04,1.039,
2014-07,1.005,
