"",BBK01.CELR0L,BBK01.CELR0L_FLAGS
"",long-term time deposits debtor: Total            creditor: Pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:30,
1999-01,0.9,
1999-04,0.9,
1999-07,1.6,
1999-10,1.3,
2000-01,1.5,
2000-04,1.1,
2000-07,0.3,
2000-10,0.2,
2001-01,0.7,
2001-04,0.9,
2001-07,0.3,
2001-10,0.2,
2002-01,1.2,
2002-04,-0.1,
2002-07,0.0,
2002-10,0.9,
2003-01,1.1,
2003-04,-0.1,
2003-07,1.6,
2003-10,0.1,
2004-01,1.2,
2004-04,2.6,
2004-07,0.6,
2004-10,1.9,
2005-01,2.0,
2005-04,0.6,
2005-07,0.8,
2005-10,0.5,
2006-01,1.2,
2006-04,1.9,
2006-07,1.7,
2006-10,0.9,
2007-01,1.6,
2007-04,1.9,
2007-07,1.4,
2007-10,1.2,
2008-01,1.2,
2008-04,1.1,
2008-07,0.2,
2008-10,-0.2,
2009-01,1.7,
2009-04,1.2,
2009-07,0.1,
2009-10,-1.5,
2010-01,-0.5,
2010-04,-1.3,
2010-07,-0.9,
2010-10,-0.9,
2011-01,-0.3,
2011-04,-0.6,
2011-07,-0.8,
2011-10,-1.5,
2012-01,-1.6,
2012-04,-1.0,
2012-07,-0.9,
2012-10,-2.5,
2013-01,1.1,
2013-04,-0.4,
2013-07,-1.3,
2013-10,-1.1,
2014-01,-1.5,
2014-04,-1.4,
2014-07,-1.6,
