"",BBK01.OELK03L,BBK01.OELK03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:25,
2002-01,0.776,
2002-04,0.772,
2002-07,0.767,
2002-10,0.749,
2003-01,0.726,
2003-04,0.699,
2003-07,0.689,
2003-10,0.678,
2004-01,0.667,
2004-04,0.620,
2004-07,0.619,
2004-10,0.598,
2005-01,0.588,
2005-04,0.595,
2005-07,0.618,
2005-10,0.611,
2006-01,0.593,
2006-04,0.603,
2006-07,0.631,
2006-10,0.677,
2007-01,0.694,
2007-04,0.766,
2007-07,0.838,
2007-10,0.987,
2008-01,0.988,
2008-04,1.034,
2008-07,1.089,
2008-10,1.197,
2009-01,0.975,
2009-04,0.828,
2009-07,0.707,
2009-10,0.638,
2010-01,0.586,
2010-04,0.548,
2010-07,0.549,
2010-10,0.579,
2011-01,0.577,
2011-04,0.618,
2011-07,0.623,
2011-10,0.616,
2012-01,0.594,
2012-04,0.530,
2012-07,0.483,
2012-10,0.469,
2013-01,0.449,
2013-04,0.422,
2013-07,0.388,
2013-10,0.393,
2014-01,0.384,
2014-04,0.379,
2014-07,0.362,
