"",BBK01.OEYB02M,BBK01.OEYB02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:15,
2002-01,6.218,
2002-04,7.210,
2002-07,7.250,
2002-10,6.533,
2003-01,7.137,
2003-04,7.589,
2003-07,7.160,
2003-10,7.181,
2004-01,6.502,
2004-04,8.226,
2004-07,8.369,
2004-10,7.038,
2005-01,7.983,
2005-04,7.792,
2005-07,6.055,
2005-10,6.515,
2006-01,5.803,
2006-04,6.676,
2006-07,6.761,
2006-10,6.841,
2007-01,6.324,
2007-04,6.642,
2007-07,7.853,
2007-10,7.360,
2008-01,8.733,
2008-04,7.963,
2008-07,7.238,
2008-10,6.802,
2009-01,8.012,
2009-04,7.555,
2009-07,7.349,
2009-10,6.884,
2010-01,7.983,
2010-04,5.306,
2010-07,5.500,
2010-10,6.153,
2011-01,6.229,
2011-04,7.044,
2011-07,6.778,
2011-10,7.791,
2012-01,6.652,
2012-04,6.498,
2012-07,6.521,
2012-10,7.051,
2013-01,5.661,
2013-04,5.370,
2013-07,5.314,
2013-10,6.077,
2014-01,5.062,
2014-04,5.155,
2014-07,5.641,
