"",BBK01.OEAB05I,BBK01.OEAB05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:40,
2002-01,117.484,
2002-04,119.375,
2002-07,114.479,
2002-10,111.708,
2003-01,108.381,
2003-04,99.534,
2003-07,97.870,
2003-10,92.947,
2004-01,92.781,
2004-04,91.826,
2004-07,91.759,
2004-10,91.482,
2005-01,94.185,
2005-04,94.465,
2005-07,96.260,
2005-10,97.013,
2006-01,95.338,
2006-04,95.637,
2006-07,105.550,
2006-10,106.847,
2007-01,104.261,
2007-04,105.116,
2007-07,104.839,
2007-10,107.403,
2008-01,109.685,
2008-04,112.453,
2008-07,115.073,
2008-10,115.249,
2009-01,115.525,
2009-04,120.579,
2009-07,133.392,
2009-10,135.175,
2010-01,135.236,
2010-04,133.638,
2010-07,131.581,
2010-10,131.929,
2011-01,134.824,
2011-04,135.450,
2011-07,135.331,
2011-10,131.750,
2012-01,135.900,
2012-04,137.601,
2012-07,134.869,
2012-10,131.031,
2013-01,130.700,
2013-04,134.932,
2013-07,126.340,
2013-10,126.802,
2014-01,126.554,
2014-04,126.225,
2014-07,125.400,
