"",BBK01.OECI03K,BBK01.OECI03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:34,
2002-01,2.125,
2002-04,2.196,
2002-07,2.494,
2002-10,2.607,
2003-01,2.247,
2003-04,2.146,
2003-07,2.056,
2003-10,1.886,
2004-01,1.739,
2004-04,1.736,
2004-07,1.651,
2004-10,5.765,
2005-01,4.148,
2005-04,4.181,
2005-07,4.005,
2005-10,4.134,
2006-01,4.235,
2006-04,4.805,
2006-07,4.770,
2006-10,5.137,
2007-01,5.981,
2007-04,6.142,
2007-07,7.077,
2007-10,7.906,
2008-01,7.923,
2008-04,8.159,
2008-07,8.784,
2008-10,8.293,
2009-01,7.239,
2009-04,7.008,
2009-07,6.052,
2009-10,5.410,
2010-01,4.816,
2010-04,4.879,
2010-07,5.347,
2010-10,5.544,
2011-01,4.744,
2011-04,4.987,
2011-07,4.851,
2011-10,5.463,
2012-01,5.183,
2012-04,5.229,
2012-07,5.066,
2012-10,5.997,
2013-01,5.185,
2013-04,5.455,
2013-07,5.622,
2013-10,4.789,
2014-01,4.900,
2014-04,5.233,
2014-07,5.488,
