"",BBFB1.Q.N.DE.HK.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.HK.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"","Financial account (excl. Reserve assets) / Net domestic investment abroad / Hong Kong, China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:50,
1991-01,397.897,
1991-04,-160.640,
1991-07,-296.231,
1991-10,577.175,
1992-01,375.529,
1992-04,104.785,
1992-07,116.447,
1992-10,597.856,
1993-01,-483.495,
1993-04,382.471,
1993-07,488.964,
1993-10,533.887,
1994-01,18.504,
1994-04,935.434,
1994-07,1062.925,
1994-10,322.455,
1995-01,690.425,
1995-04,-443.758,
1995-07,-276.155,
1995-10,-65.453,
1996-01,1223.872,
1996-04,1600.712,
1996-07,-2124.316,
1996-10,201.555,
1997-01,1727.420,
1997-04,1273.159,
1997-07,-2056.017,
1997-10,-1606.004,
1998-01,-199.406,
1998-04,-353.818,
1998-07,-1206.938,
1998-10,-339.710,
1999-01,-686.660,
1999-04,360.475,
1999-07,-481.214,
1999-10,2278.597,
2000-01,1776.300,
2000-04,-203.633,
2000-07,899.437,
2000-10,-1028.159,
2001-01,320.374,
2001-04,-940.248,
2001-07,572.550,
2001-10,-615.509,
2002-01,-433.853,
2002-04,778.405,
2002-07,2629.335,
2002-10,-909.548,
2003-01,-280.608,
2003-04,144.568,
2003-07,-3340.365,
2003-10,759.398,
2004-01,960.933,
2004-04,-73.193,
2004-07,-65.438,
2004-10,716.800,
2005-01,854.453,
2005-04,1076.175,
2005-07,-137.944,
2005-10,-807.638,
2006-01,-390.798,
2006-04,1581.054,
2006-07,86.341,
2006-10,-1300.678,
2007-01,4324.442,
2007-04,-1043.987,
2007-07,3966.268,
2007-10,-1695.916,
2008-01,1681.415,
2008-04,-486.335,
2008-07,-1658.044,
2008-10,3731.404,
2009-01,-1007.314,
2009-04,260.670,
2009-07,937.910,
2009-10,-1215.370,
2010-01,-704.942,
2010-04,-1101.144,
2010-07,-2750.038,
2010-10,1530.814,
2011-01,-189.102,
2011-04,192.738,
2011-07,606.876,
2011-10,638.103,
2012-01,-967.267,
2012-04,-504.665,
2012-07,101.620,
2012-10,-707.509,
2013-01,231.241,
2013-04,-16.817,
2013-07,-911.457,
2013-10,1222.480,
2014-01,2194.291,Provisional value
2014-04,-440.704,Provisional value
2014-07,556.783,Provisional value
2014-10,-1761.881,Provisional value
