"",BBEX3.M.BRL.USD.CA.AC.A01,BBEX3.M.BRL.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Brazil * / USD 1 = BRL ... (middle),
unit,BRL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:22,
1994-07,0.93950,
1994-08,0.88800,
1994-09,0.85200,
1994-10,0.84500,
1994-11,0.84400,
1994-12,0.84500,
1995-01,0.84100,
1995-02,0.85050,
1995-03,0.89500,
1995-04,0.91200,
1995-05,0.90500,
1995-06,0.92100,
1995-07,0.93500,
1995-08,0.95000,
1995-09,0.95300,
1995-10,0.96140,
1995-11,0.96610,
1995-12,0.97200,
1996-01,0.97810,
1996-02,0.98370,
1996-03,0.98760,
1996-04,0.99210,
1996-05,0.99800,
1996-06,1.00400,
1996-07,1.01080,
1996-08,1.01650,
1996-09,1.02110,
1996-10,1.02720,
1996-11,1.03280,
1996-12,1.03900,
1997-01,1.04570,
1997-02,1.05110,
1997-03,1.05890,
1997-04,1.06340,
1997-05,1.07130,
1997-06,1.07650,
1997-07,1.08300,
1997-08,1.09120,
1997-09,1.09600,
1997-10,1.10270,
1997-11,1.10940,
1997-12,1.11600,
1998-01,1.12330,
1998-02,1.13000,
1998-03,1.13700,
1998-04,1.14390,
1998-05,1.15010,
1998-06,1.15650,
1998-07,1.16300,
1998-08,1.17650,
1998-09,1.18520,
1998-10,1.19280,
1998-11,1.20080,
1998-12,1.20830,
1999-01,1.98280,comment
1999-02,2.06440,
1999-03,1.72160,
1999-04,1.66030,
1999-05,1.72360,
1999-06,1.76910,
1999-07,1.78880,
1999-08,1.91550,
1999-09,1.92190,
1999-10,1.95260,
1999-11,1.92230,
1999-12,1.78860,
2000-01,1.80200,
2000-02,1.76810,
2000-03,1.74690,
2000-04,1.80630,
2000-05,1.82620,
2000-06,1.79960,
2000-07,1.77440,
2000-08,1.82300,
2000-09,1.84330,
2000-10,1.90860,
2000-11,1.95920,
2000-12,1.95500,
2001-01,1.97070,
2001-02,2.04480,
2001-03,2.16120,
2001-04,2.18430,
2001-05,2.35960,
2001-06,2.30450,
2001-07,2.43090,
2001-08,2.55130,
2001-09,2.67090,
2001-10,2.70670,
2001-11,2.52830,
2001-12,2.32000,
2002-01,2.41790,
2002-02,2.34780,
2002-03,2.32320,
2002-04,2.36210,
2002-05,2.52160,
2002-06,2.84400,
2002-07,3.42810,
2002-08,3.02190,
2002-09,3.89450,
2002-10,3.64460,
2002-11,3.63610,
2002-12,3.53290,
2003-01,3.52540,
2003-02,3.56280,
2003-03,3.35270,
2003-04,2.88940,
2003-05,2.96520,
2003-06,2.87160,
2003-07,2.96510,
2003-08,2.96610,
2003-09,2.92300,
2003-10,2.85580,
2003-11,2.94900,
2003-12,2.88880,
2004-01,2.94050,
2004-02,2.91340,
2004-03,2.90820,
2004-04,2.94430,
2004-05,3.12870,
2004-06,3.10710,
2004-07,3.02640,
2004-08,2.93340,
2004-09,2.85820,
2004-10,2.85610,
2004-11,2.73030,
2004-12,2.65400,
2005-01,2.62440,
2005-02,2.59460,
2005-03,2.66580,
2005-04,2.53090,
2005-05,2.40340,
2005-06,2.35000,
2005-07,2.39010,
2005-08,2.36330,
2005-09,2.22180,
2005-10,2.25390,
2005-11,2.20660,
2005-12,2.34030,
2006-01,2.21560,
2006-02,2.13510,
2006-03,2.17200,
2006-04,2.08880,
2006-05,2.30010,
2006-06,2.16390,
2006-07,2.17580,
2006-08,2.13840,
2006-09,2.17380,
2006-10,2.14260,
2006-11,2.16640,
2006-12,2.13760,
2007-01,2.12430,
2007-02,2.11780,
2007-03,2.05000,
2007-04,2.03350,
2007-05,1.92850,
2007-06,1.92580,
2007-07,1.87720,
2007-08,1.96160,
2007-09,1.83850,
2007-10,1.74360,
2007-11,1.78330,
2007-12,1.77090,
2008-01,1.75990,
2008-02,1.68290,
2008-03,1.74870,
2008-04,1.68680,
2008-05,1.62900,
2008-06,1.59150,
2008-07,1.56620,
2008-08,1.63400,
2008-09,1.91390,
2008-10,2.11490,
2008-11,2.33270,
2008-12,2.33660,
2009-01,2.31580,
2009-02,2.37800,
2009-03,2.31480,
2009-04,2.17790,
2009-05,1.97260,
2009-06,1.95120,
2009-07,1.87220,
