"",BBK01.OEAE24K,BBK01.OEAE24K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:58,
2002-01,0.612,
2002-04,0.629,
2002-07,0.622,
2002-10,0.683,
2003-01,0.679,
2003-04,0.677,
2003-07,0.678,
2003-10,0.650,
2004-01,0.564,
2004-04,0.493,
2004-07,0.535,
2004-10,0.308,
2005-01,0.298,
2005-04,0.281,
2005-07,0.278,
2005-10,0.300,
2006-01,0.281,
2006-04,0.292,
2006-07,0.277,
2006-10,0.356,
2007-01,0.262,
2007-04,0.313,
2007-07,0.282,
2007-10,0.363,
2008-01,0.355,
2008-04,0.333,
2008-07,0.315,
2008-10,0.253,
2009-01,0.282,
2009-04,0.265,
2009-07,0.227,
2009-10,0.253,
2010-01,0.281,
2010-04,0.314,
2010-07,0.302,
2010-10,0.325,
2011-01,0.453,
2011-04,0.584,
2011-07,0.905,
2011-10,0.780,
2012-01,0.889,
2012-04,0.658,
2012-07,0.768,
2012-10,0.703,
2013-01,0.738,
2013-04,0.822,
2013-07,0.452,
2013-10,0.425,
2014-01,0.390,
2014-04,0.480,
2014-07,0.537,
