"",BBK01.OECB16Q,BBK01.OECB16Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:31,
2002-01,0.995,
2002-04,0.995,
2002-07,0.992,
2002-10,0.968,
2003-01,0.956,
2003-04,0.946,
2003-07,0.930,
2003-10,0.934,
2004-01,0.947,
2004-04,0.930,
2004-07,0.909,
2004-10,1.427,
2005-01,1.433,
2005-04,1.384,
2005-07,1.362,
2005-10,1.313,
2006-01,1.299,
2006-04,1.260,
2006-07,1.247,
2006-10,1.230,
2007-01,1.202,
2007-04,1.186,
2007-07,1.167,
2007-10,1.136,
2008-01,1.096,
2008-04,1.092,
2008-07,1.057,
2008-10,1.018,
2009-01,0.982,
2009-04,1.255,
2009-07,1.238,
2009-10,1.253,
2010-01,1.225,
2010-04,1.208,
2010-07,1.369,
2010-10,1.366,
2011-01,1.211,
2011-04,1.204,
2011-07,1.176,
2011-10,1.156,
2012-01,1.155,
2012-04,1.147,
2012-07,1.161,
2012-10,1.166,
2013-01,1.170,
2013-04,1.113,
2013-07,1.131,
2013-10,1.124,
2014-01,1.124,
2014-04,1.122,
2014-07,1.137,
