"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.LU.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.LU.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Luxembourg / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:29,
2009-09,11,
2009-10,11,
2009-11,12,
2009-12,12,
2010-01,25,
2010-02,26,
2010-03,29,
2010-04,37,
2010-05,191,
2010-06,183,
2010-07,188,
2010-08,202,
2010-09,197,
2010-10,172,
2010-11,168,
2010-12,164,
2011-01,195,
2011-02,173,
2011-03,163,
2011-04,156,
2011-05,152,
2011-06,159,
2011-07,158,
2011-08,154,
2011-09,119,
2011-10,165,
2011-11,163,
2011-12,171,
2012-01,175,
2012-02,183,
2012-03,254,
2012-04,273,
2012-05,290,
2012-06,294,
2012-07,308,
2012-08,312,
2012-09,309,
2012-10,306,
2012-11,305,
2012-12,304,
2013-01,292,
2013-02,289,
2013-03,338,
2013-04,320,
2013-05,307,
2013-06,320,
2013-07,396,
2013-08,499,
2013-09,506,
2013-10,530,
2013-11,519,
2013-12,463,
2014-01,505,
2014-02,515,
2014-03,519,
2014-04,519,
2014-05,537,
2014-06,557,
2014-07,542,
2014-08,552,
2014-09,546,
2014-10,552,
2014-11,555,
