"",BBFB1.Q.N.DE.B5.S1.S1.T.C.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.C.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Receipts / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:39,
1999-01,2351.671,
1999-04,2797.875,
1999-07,3326.159,
1999-10,2885.465,
2000-01,2744.489,
2000-04,3291.176,
2000-07,3783.180,
2000-10,3341.903,
2001-01,3003.967,
2001-04,3489.158,
2001-07,3866.800,
2001-10,3379.409,
2002-01,2826.441,
2002-04,3455.167,
2002-07,3978.767,
2002-10,3472.536,
2003-01,2876.593,
2003-04,3511.305,
2003-07,4022.884,
2003-10,3531.746,
2004-01,3200.563,
2004-04,3806.551,
2004-07,4336.794,
2004-10,3781.968,
2005-01,3412.640,
2005-04,4116.116,
2005-07,4562.913,
2005-10,3940.291,
2006-01,3545.895,
2006-04,4807.588,
2006-07,5148.802,
2006-10,4472.568,
2007-01,3839.830,
2007-04,4609.081,
2007-07,5436.815,
2007-10,4586.010,
2008-01,3965.698,
2008-04,4817.327,
2008-07,5504.686,
2008-10,4709.117,
2009-01,3535.691,
2009-04,4249.180,
2009-07,5078.364,
2009-10,4248.758,
2010-01,3619.186,
2010-04,4421.029,
2010-07,5335.907,
2010-10,4429.751,
2011-01,3785.014,
2011-04,4537.311,
2011-07,5524.752,
2011-10,4587.776,
2012-01,3928.723,
2012-04,4609.894,
2012-07,5630.738,
2012-10,4648.155,
2013-01,4130.357,
2013-04,4787.772,
2013-07,5779.143,
2013-10,4861.270,
2014-01,4188.250,Provisional value
2014-04,5044.577,Provisional value
2014-07,5987.717,Provisional value
2014-10,5029.674,Provisional value
