"",BBK01.OELJ04P,BBK01.OELJ04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:40,
2002-01,0.291,
2002-04,0.298,
2002-07,0.289,
2002-10,0.330,
2003-01,0.308,
2003-04,0.269,
2003-07,0.280,
2003-10,0.329,
2004-01,0.276,
2004-04,0.260,
2004-07,0.255,
2004-10,0.259,
2005-01,0.255,
2005-04,0.259,
2005-07,0.270,
2005-10,0.297,
2006-01,0.255,
2006-04,0.279,
2006-07,0.259,
2006-10,0.367,
2007-01,0.297,
2007-04,0.336,
2007-07,0.357,
2007-10,0.361,
2008-01,0.344,
2008-04,0.347,
2008-07,0.422,
2008-10,0.405,
2009-01,0.360,
2009-04,0.313,
2009-07,0.310,
2009-10,0.354,
2010-01,0.347,
2010-04,0.324,
2010-07,0.317,
2010-10,0.402,
2011-01,0.382,
2011-04,0.372,
2011-07,0.346,
2011-10,0.361,
2012-01,0.275,
2012-04,0.267,
2012-07,0.255,
2012-10,0.250,
2013-01,0.239,
2013-04,0.219,
2013-07,0.213,
2013-10,0.296,
2014-01,0.213,
2014-04,0.189,
2014-07,0.155,
