"",BBK01.OEBK04N,BBK01.OEBK04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:11,
2002-01,2.393,
2002-04,2.392,
2002-07,2.466,
2002-10,2.590,
2003-01,2.471,
2003-04,2.321,
2003-07,2.249,
2003-10,2.077,
2004-01,1.918,
2004-04,1.875,
2004-07,1.897,
2004-10,1.816,
2005-01,1.761,
2005-04,1.692,
2005-07,1.780,
2005-10,1.887,
2006-01,2.035,
2006-04,2.260,
2006-07,2.340,
2006-10,2.470,
2007-01,2.523,
2007-04,2.609,
2007-07,3.020,
2007-10,3.435,
2008-01,3.542,
2008-04,3.731,
2008-07,3.910,
2008-10,3.620,
2009-01,2.682,
2009-04,2.122,
2009-07,1.738,
2009-10,1.548,
2010-01,1.305,
2010-04,1.174,
2010-07,1.049,
2010-10,1.053,
2011-01,1.337,
2011-04,1.445,
2011-07,1.643,
2011-10,1.768,
2012-01,1.483,
2012-04,1.429,
2012-07,1.347,
2012-10,1.289,
2013-01,1.231,
2013-04,1.227,
2013-07,1.213,
2013-10,1.266,
2014-01,1.429,
2014-04,1.507,
2014-07,1.536,
