"",BBFB1.Q.N.DE.W1.S13.S1.T.L.FA.P.F3.L._T.M.N,BBFB1.Q.N.DE.W1.S13.S1.T.L.FA.P.F3.L._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Long-term debt-securities / Public issuers / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:59:04,
1991-01,1550.365,
1991-04,2074.902,
1991-07,6953.236,
1991-10,11913.787,
1992-01,3179.574,
1992-04,436.811,
1992-07,22576.596,
1992-10,12923.606,
1993-01,23958.734,
1993-04,20818.453,
1993-07,10084.883,
1993-10,23797.805,
1994-01,-1626.306,
1994-04,-8998.510,
1994-07,2325.805,
1994-10,10405.072,
1995-01,5148.084,
1995-04,10946.232,
1995-07,3473.267,
1995-10,5776.989,
1996-01,1052.367,
1996-04,5901.543,
1996-07,7942.831,
1996-10,7691.320,
1997-01,10551.972,
1997-04,8600.261,
1997-07,8836.155,
1997-10,11964.459,
1998-01,3459.664,
1998-04,107.567,
1998-07,23644.498,
1998-10,12242.706,
1999-01,7131.601,
1999-04,5122.895,
1999-07,12393.132,
1999-10,7793.961,
2000-01,59.893,
2000-04,13452.601,
2000-07,9596.126,
2000-10,-666.378,
2001-01,-6523.451,
2001-04,1984.452,
2001-07,13394.899,
2001-10,-1110.732,
2002-01,17470.434,
2002-04,18030.728,
2002-07,3952.844,
2002-10,5107.822,
2003-01,13892.372,
2003-04,12456.592,
2003-07,-9229.786,
2003-10,1353.089,
2004-01,21652.436,
2004-04,-2858.988,
2004-07,18215.740,
2004-10,9511.802,
2005-01,12626.366,
2005-04,29246.302,
2005-07,17224.856,
2005-10,12887.216,
2006-01,20768.987,
2006-04,1074.291,
2006-07,9721.499,
2006-10,21120.168,
2007-01,-5217.481,
2007-04,29980.182,
2007-07,2988.933,
2007-10,32882.351,
2008-01,3531.956,
2008-04,22984.368,
2008-07,15841.675,
2008-10,-8934.811,
2009-01,10884.378,
2009-04,23022.544,
2009-07,-9126.761,
2009-10,2411.082,
2010-01,16674.186,
2010-04,22392.619,
2010-07,23278.115,
2010-10,15001.330,
2011-01,23408.159,
2011-04,30438.922,
2011-07,9375.575,
2011-10,5348.546,
2012-01,29414.039,
2012-04,23090.551,
2012-07,12294.745,
2012-10,13778.851,
2013-01,4789.356,
2013-04,3756.756,
2013-07,4297.105,
2013-10,16362.410,
2014-01,19722.940,
2014-04,9745.251,
2014-07,-6416.085,
