"",BBK01.OEAA32V,BBK01.OEAA32V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:14,
2002-01,0.347,
2002-04,0.343,
2002-07,0.336,
2002-10,0.325,
2003-01,0.320,
2003-04,0.316,
2003-07,0.313,
2003-10,0.306,
2004-01,0.303,
2004-04,0.295,
2004-07,0.289,
2004-10,0.280,
2005-01,0.174,
2005-04,0.169,
2005-07,0.168,
2005-10,0.149,
2006-01,0.080,
2006-04,0.082,
2006-07,0.077,
2006-10,0.078,
2007-01,0.077,
2007-04,0.076,
2007-07,0.075,
2007-10,0.057,
2008-01,0.057,
2008-04,0.058,
2008-07,0.059,
2008-10,0.061,
2009-01,0.062,
2009-04,0.068,
2009-07,0.073,
2009-10,0.078,
2010-01,0.079,
2010-04,0.075,
2010-07,0.078,
2010-10,0.078,
2011-01,0.084,
2011-04,0.086,
2011-07,0.088,
2011-10,0.097,
2012-01,0.094,
2012-04,0.095,
2012-07,0.097,
2012-10,0.099,
2013-01,0.096,
2013-04,0.097,
2013-07,0.096,
2013-10,0.097,
2014-01,0.093,
2014-04,0.098,
2014-07,0.098,
