"",BBK01.OEXJ01G,BBK01.OEXJ01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:22,
2002-01,16.441,
2002-04,17.229,
2002-07,17.038,
2002-10,17.683,
2003-01,18.727,
2003-04,18.010,
2003-07,18.117,
2003-10,19.481,
2004-01,19.540,
2004-04,19.325,
2004-07,19.577,
2004-10,21.285,
2005-01,10.154,
2005-04,10.461,
2005-07,2.727,
2005-10,2.603,
2006-01,2.575,
2006-04,2.527,
2006-07,2.610,
2006-10,2.595,
2007-01,2.764,
2007-04,2.903,
2007-07,3.195,
2007-10,3.312,
2008-01,3.132,
2008-04,3.524,
2008-07,4.235,
2008-10,3.936,
2009-01,4.161,
2009-04,4.077,
2009-07,3.988,
2009-10,3.970,
2010-01,4.448,
2010-04,4.073,
2010-07,4.054,
2010-10,5.114,
2011-01,4.903,
2011-04,4.924,
2011-07,6.060,
2011-10,6.691,
2012-01,6.878,
2012-04,7.345,
2012-07,7.851,
2012-10,7.850,
2013-01,7.552,
2013-04,7.800,
2013-07,8.555,
2013-10,8.832,
2014-01,9.459,
2014-04,9.879,
2014-07,10.124,
