"",BBK01.OELB16O,BBK01.OELB16O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:34,
2002-01,4.421,
2002-04,4.428,
2002-07,4.439,
2002-10,4.451,
2003-01,4.419,
2003-04,4.459,
2003-07,4.495,
2003-10,4.510,
2004-01,4.481,
2004-04,4.492,
2004-07,4.502,
2004-10,4.500,
2005-01,4.495,
2005-04,4.516,
2005-07,4.554,
2005-10,4.589,
2006-01,4.588,
2006-04,4.638,
2006-07,4.667,
2006-10,4.735,
2007-01,4.755,
2007-04,4.764,
2007-07,4.782,
2007-10,4.685,
2008-01,4.700,
2008-04,4.750,
2008-07,4.792,
2008-10,4.836,
2009-01,4.845,
2009-04,4.930,
2009-07,4.975,
2009-10,5.010,
2010-01,5.019,
2010-04,5.092,
2010-07,5.146,
2010-10,5.166,
2011-01,5.125,
2011-04,5.155,
2011-07,5.200,
2011-10,5.261,
2012-01,5.266,
2012-04,5.880,
2012-07,5.907,
2012-10,5.937,
2013-01,5.914,
2013-04,5.928,
2013-07,6.091,
2013-10,6.109,
2014-01,6.176,
2014-04,6.169,
2014-07,6.199,
