"",BBEX3.M.ILS.EUR.BB.AC.A02,BBEX3.M.ILS.EUR.BB.AC.A02_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = ILS ... / Israel,
unit,ILS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:00:33,
2000-02,3.9880,
2000-03,3.8633,
2000-04,3.8307,
2000-05,3.7544,
2000-06,3.8995,
2000-07,3.8432,
2000-08,3.6602,
2000-09,3.5219,
2000-10,3.5061,
2000-11,3.5197,
2000-12,3.6616,
2001-01,3.8661,
2001-02,3.7996,
2001-03,3.7861,
2001-04,3.7253,
2001-05,3.6202,
2001-06,3.5513,
2001-07,3.6140,
2001-08,3.8122,
2001-09,3.9480,
2001-10,3.9128,
2001-11,3.7658,
2001-12,3.8071,
2002-01,4.0062,
2002-02,4.0518,
2002-03,4.0903,
2002-04,4.2572,
2002-05,4.4874,
2002-06,4.7167,
2002-07,4.6807,
2002-08,4.5713,
2002-09,4.6795,
2002-10,4.7089,
2002-11,4.6936,
2002-12,4.7798,
2003-01,5.1401,
2003-02,5.2437,
2003-03,5.1665,
2003-04,5.0043,
2003-05,5.1831,
2003-06,5.1110,
2003-07,4.9712,
2003-08,4.9596,
2003-09,5.0078,
2003-10,5.1992,
2003-11,5.2489,
2003-12,5.3926,
2004-01,5.5806,
2004-02,5.6444,
2004-03,5.5261,
2004-04,5.4499,
2004-05,5.5064,
2004-06,5.4858,
2004-07,5.5148,
2004-08,5.5223,
2004-09,5.4867,
2004-10,5.5699,
2004-11,5.7216,
2004-12,5.8221,
2005-01,5.7455,
2005-02,5.6888,
2005-03,5.7133,
2005-04,5.6561,
2005-05,5.5573,
2005-06,5.4520,
2005-07,5.4908,
2005-08,5.5446,
2005-09,5.5680,
2005-10,5.5615,
2005-11,5.5398,
2005-12,5.4689,
2006-01,5.5937,
2006-02,5.6167,
2006-03,5.6397,
2006-04,5.6201,
2006-05,5.7199,
2006-06,5.6615,
2006-07,5.6260,
2006-08,5.6111,
2006-09,5.5404,
2006-10,5.3917,
2006-11,5.5284,
2006-12,5.5527,
2007-01,5.5010,
2007-02,5.5116,
2007-03,5.5666,
2007-04,5.5097,
2007-05,5.4023,
2007-06,5.6119,
2007-07,5.8271,
2007-08,5.7547,
2007-09,5.6691,
2007-10,5.7095,
2007-11,5.7445,
2007-12,5.6909,
2008-01,5.5168,
2008-02,5.3210,
2008-03,5.4478,
2008-04,5.5462,
2008-05,5.2550,
2008-06,5.2276,
2008-07,5.3231,
2008-08,5.3246,
2008-09,5.0807,
2008-10,4.8854,
2008-11,4.9569,
2008-12,5.2033,
2009-01,5.1793,
2009-02,5.2437,
2009-03,5.4354,
2009-04,5.5290,
2009-05,5.5552,
2009-06,5.5260,
2009-07,5.4784,
2009-08,5.4694,
2009-09,5.4813,
2009-10,5.5194,
2009-11,5.6352,
2009-12,5.5373,
2010-01,5.2964,
2010-02,5.1258,
2010-03,5.0772,
2010-04,4.9773,
2010-05,4.7640,
2010-06,4.7048,
2010-07,4.9236,
2010-08,4.8906,
2010-09,4.8792,
2010-10,5.0192,
2010-11,4.9770,
2010-12,4.7618,
2011-01,4.7909,
2011-02,4.9939,
2011-03,4.9867,
2011-04,4.9573,
2011-05,4.9740,
2011-06,4.9169,
2011-07,4.8801,
2011-08,5.0841,
2011-09,5.0788,
2011-10,5.0253,
2011-11,5.0521,
2011-12,4.9725,
2012-01,4.9141,
2012-02,4.9474,
2012-03,4.9679,
2012-04,4.9362,
2012-05,4.8974,
2012-06,4.8763,
2012-07,4.9042,
2012-08,4.9779,
2012-09,5.0717,
2012-10,4.9976,
2012-11,4.9970,
2012-12,4.9570,
2013-01,4.9706,
2013-02,4.9359,
2013-03,4.7769,
2013-04,4.7164,
2013-05,4.7223,
2013-06,4.7865,
2013-07,4.7153,
2013-08,4.7610,
2013-09,4.7636,
2013-10,4.8232,
2013-11,4.7711,
2013-12,4.8019,
2014-01,4.7569,
2014-02,4.8043,
2014-03,4.8087,
2014-04,4.8010,
2014-05,4.7600,
2014-06,4.6966,
2014-07,4.6325,
2014-08,4.6569,
2014-09,4.6896,
2014-10,4.7249,
2014-11,4.7783,
2014-12,4.8503,
2015-01,4.5856,
2015-02,4.4192,
"","General: Up to the end of 2010, ECB indicative rates. Since January 2011 euro foreign exchange reference rates of the ECB, which are calculated on the basis of the concertation between central banks at 14.15.",
"",Source: European Central Bank (ECB).,
"",Methodology: Averages: Bundesbank calculations based on the daily euro reference exchange rates published by the ECB.,
