"",BBEX3.M.TZS.USD.CA.AA.A01,BBEX3.M.TZS.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in the United Republic of Tanzania / USD 1 = TZS ... (buying),
unit,TZS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:44,
1984-01,12.6155,
1984-02,12.3273,
1984-03,12.3425,
1984-04,12.5163,
1984-05,12.5805,
1984-06,17.1525,comment
1984-07,17.3566,
1984-08,17.3137,
1984-09,17.6417,
1984-10,17.7764,
1984-11,17.8329,
1984-12,18.0063,
1985-01,18.1729,
1985-02,18.4440,
1985-03,17.6954,
1985-04,17.7199,
1985-05,17.6158,
1985-06,17.4635,
1985-07,16.9542,
1985-08,17.0746,
1985-09,16.8124,
1985-10,16.5767,
1985-11,16.2505,
1985-12,16.3327,
1986-01,16.3129,
1986-02,15.9219,
1986-03,16.0203,
1986-04,19.9248,comment
1986-05,25.9976,comment
1986-06,40.2921,comment
1986-07,41.3481,
1986-08,42.5837,
1986-09,44.3634,
1986-10,46.6401,
1986-11,48.9908,
1986-12,51.4600,
1987-01,53.4102,
1987-02,55.2262,
1987-03,57.1038,
1987-04,58.9318,
1987-05,61.0030,
1987-06,63.1658,
1987-07,65.3619,
1987-08,67.5645,
1987-09,69.8774,
1987-10,72.9790,
1987-11,76.2182,
1987-12,83.2985,
1988-01,91.0366,
1988-02,92.1423,
1988-03,93.2614,
1988-04,94.7498,
1988-05,95.9006,
1988-06,97.0653,
1988-07,97.1610,
1988-08,97.1610,
1988-09,97.9937,
1988-10,98.4629,
1988-11,121.4844,comment
1988-12,124.3747,
1989-01,128.4062,
1989-02,129.6621,
1989-03,134.1257,
1989-04,136.2395,
1989-05,137.3278,
1989-06,144.8185,
1989-07,144.2747,
1989-08,144.2747,
1989-09,144.2747,
1989-10,146.7582,
1989-11,154.2247,
1989-12,191.3382,comment
1990-01,192.6586,
1990-02,194.1967,
1990-03,193.6924,
1990-04,193.6924,
1990-05,193.6924,
1990-06,193.9570,
1990-07,193.2287,
1990-08,195.6167,
1990-09,195.6167,
1990-10,195.6167,
1990-11,195.6167,
1990-12,195.6167,
1991-01,195.6167,
