"",BBK01.TVE320,BBK01.TVE320_FLAGS
"",Monetary capital formation at monetray financial institutions(MFIS) in the euro area / Deposits at agreed notice of over 3 months / Euro area,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:42,
1997-10,-397,
1997-11,137,
1997-12,5219,
1998-01,-1759,
1998-02,-234,
1998-03,-975,
1998-04,-1813,
1998-05,-1629,
1998-06,-1264,
1998-07,-963,
1998-08,-774,
1998-09,-800,
1998-10,-34,
1998-11,393,
1998-12,5037,
1999-01,-1152,
1999-02,-1316,
1999-03,-811,
1999-04,-2248,
1999-05,-3546,
1999-06,-963,
1999-07,-2264,
1999-08,-873,
1999-09,211,
1999-10,-629,
1999-11,43,
1999-12,2052,
2000-01,-865,
2000-02,981,
2000-03,811,
2000-04,-404,
2000-05,1250,
2000-06,1486,
2000-07,1410,
2000-08,1655,
2000-09,2217,
2000-10,815,
2000-11,1611,
2000-12,2492,
2001-01,150,
2001-02,123,
2001-03,-487,
2001-04,-1865,
2001-05,-1414,
2001-06,-1116,
2001-07,-1363,
2001-08,-1223,
2001-09,-904,
2001-10,-1664,
2001-11,-1136,
2001-12,94,
2002-01,-3583,
2002-02,-1018,
2002-03,-1344,
2002-04,-1948,
2002-05,-1158,
2002-06,-170,
2002-07,-26,
2002-08,187,
2002-09,415,
2002-10,-1010,
2002-11,-489,
2002-12,-66,
2003-01,-2093,
2003-02,-1199,
2003-03,-1592,
2003-04,-2627,
2003-05,-1341,
2003-06,-1567,
2003-07,-2105,
2003-08,-1596,
2003-09,-557,
2003-10,55,
2003-11,174,
2003-12,1052,
2004-01,-1063,
2004-02,-253,
2004-03,-167,
2004-04,-1085,
2004-05,-876,
2004-06,-357,
2004-07,85,
2004-08,-17,
2004-09,-258,
2004-10,883,
2004-11,806,
2004-12,1189,
2005-01,-301,
2005-02,497,
2005-03,-64,
2005-04,-453,
2005-05,-447,
2005-06,-654,
2005-07,-983,
2005-08,-1043,
2005-09,-1566,
2005-10,-498,
2005-11,221,
2005-12,810,
2006-01,670,
2006-02,268,
2006-03,788,
2006-04,367,
2006-05,1309,
2006-06,1224,
2006-07,1169,
2006-08,1490,
2006-09,1364,
2006-10,2102,
2006-11,2646,
2006-12,2066,
2007-01,1867,
2007-02,1905,
2007-03,930,
2007-04,256,
2007-05,-152,
2007-06,671,
2007-07,846,
2007-08,170,
2007-09,1249,
2007-10,1052,
2007-11,799,
2007-12,352,
2008-01,1821,
2008-02,-1101,
2008-03,-2315,
2008-04,-1539,
2008-05,-1703,
2008-06,-886,
2008-07,-749,
2008-08,-1254,
2008-09,-1342,
2008-10,2602,
2008-11,3443,
2008-12,3663,
2009-01,2111,
2009-02,-315,
2009-03,436,
2009-04,93,
2009-05,1266,
2009-06,836,
2009-07,1128,
2009-08,671,
2009-09,951,
2009-10,2226,
2009-11,639,
2009-12,-1068,
2010-01,992,
2010-02,-746,
2010-03,-83,
2010-04,-1961,
2010-05,-731,
2010-06,-1312,
2010-07,-1069,
2010-08,-259,
2010-09,-1553,
2010-10,-566,
2010-11,206,
2010-12,-485,
2011-01,1530,
2011-02,470,
2011-03,5,
2011-04,-1104,
2011-05,-468,
2011-06,-286,
2011-07,38,
2011-08,-386,
2011-09,-722,
2011-10,5,
2011-11,-916,
2011-12,-714,
2012-01,600,
2012-02,-1201,
2012-03,-575,
2012-04,-117,
2012-05,-930,
2012-06,-1007,
2012-07,-1099,
2012-08,-1269,
2012-09,-1429,
2012-10,-691,
2012-11,-717,
2012-12,-1794,
2013-01,-954,
2013-02,-2017,
2013-03,-1524,
2013-04,-1859,
2013-05,-2119,
2013-06,-1265,
2013-07,-1164,
2013-08,-820,
2013-09,-1330,
2013-10,-455,
2013-11,-258,
2013-12,-502,
2014-01,81,
2014-02,125,
2014-03,-202,
2014-04,-320,
2014-05,-387,
2014-06,-1359,
2014-07,578,
2014-08,1312,
2014-09,340,
2014-10,-218,
2014-11,-449,
2014-12,2305,
2015-01,426,
