"",BBEE1.M.DE.AAA.XY0U12.R.AACPB.M00,BBEE1.M.DE.AAA.XY0U12.R.AACPB.M00_FLAGS
"","Indicator of the German economy's price competitiveness against 37 trading partners, based on consumer price indices",
unit,1Q99=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 14:44:57,
2010-06,92.3,
2010-07,93.1,
2010-08,92.8,
2010-09,92.8,
2010-10,94.2,
2010-11,93.5,
2010-12,92.6,
2011-01,92.5,
2011-02,92.9,
2011-03,93.7,
2011-04,94.5,
2011-05,93.9,
2011-06,93.8,
2011-07,93.4,
2011-08,93.2,
2011-09,92.9,
2011-10,92.9,
2011-11,92.7,
2011-12,91.8,
2012-01,90.8,
2012-02,91.4,
2012-03,91.4,
2012-04,91.2,
2012-05,90.5,
2012-06,90.1,
2012-07,89.2,
2012-08,89.2,
2012-09,90.0,
2012-10,90.1,
2012-11,90.0,
2012-12,90.5,
2013-01,91.6,
2013-02,92.1,
2013-03,91.5,
2013-04,91.8,
2013-05,91.8,
2013-06,92.3,
2013-07,92.3,
2013-08,92.6,
2013-09,92.4,
2013-10,92.6,
2013-11,92.7,
2013-12,93.3,
2014-01,93.1,
2014-02,93.2,
2014-03,93.6,
2014-04,93.6,
2014-05,93.1,
2014-06,92.8,
2014-07,92.7,
2014-08,92.4,
2014-09,91.8,
2014-10,91.1,Provisional value
2014-11,91.0,Provisional value
2014-12,90.8,Provisional value
2015-01,89.0,Provisional value
"","Source: Bundesbank calculations on the basis of seasonally adjusted consumer price indices (from 1995, HICP where available).",
"","Methodology: Geometrically weighted indicator of price competitiveness, based on consumer price indices.                                           Weighting scheme drawn up on the basis of foreign trade in the field of manufacturing (SITC 5-8). Starting with the period between 1995 and 1997, the weighting is updated every three years. The final respected weighting period until the current date: years between 2007 and 2009. In order to capture third-market effects, export shares were derived on the basis of the principle of ""double weighting"".                 For details of the methodology see the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).   Group of countries: Australia, Austria, Belgium, Bulgaria, Canada, China, Cyprus, Croatia, Czech Republic, Denmark, Estonia, Finland, France, Germany (up to 1994, West Germany as formerly defined), Greece, Hong Kong, Hungary, Ireland, Italy, Japan, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Singapore, Slovakia, Slovenia, South Korea, Spain, Sweden, Switzerland, the United Kingdom and the United States                                        (the reference country is included in the group of countries cited).",
