"",BBK01.OEYB04J,BBK01.OEYB04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:48,
2002-01,8.785,
2002-04,8.443,
2002-07,9.353,
2002-10,9.464,
2003-01,9.318,
2003-04,9.101,
2003-07,9.063,
2003-10,9.016,
2004-01,9.348,
2004-04,9.502,
2004-07,9.363,
2004-10,9.063,
2005-01,9.545,
2005-04,10.034,
2005-07,10.439,
2005-10,10.633,
2006-01,10.866,
2006-04,10.866,
2006-07,11.045,
2006-10,9.212,
2007-01,9.309,
2007-04,9.616,
2007-07,9.746,
2007-10,9.611,
2008-01,9.666,
2008-04,9.957,
2008-07,10.273,
2008-10,10.689,
2009-01,10.856,
2009-04,10.697,
2009-07,10.509,
2009-10,10.416,
2010-01,10.807,
2010-04,15.144,
2010-07,13.992,
2010-10,13.596,
2011-01,13.145,
2011-04,13.009,
2011-07,13.438,
2011-10,13.717,
2012-01,12.565,
2012-04,7.705,
2012-07,7.318,
2012-10,7.222,
2013-01,7.226,
2013-04,7.071,
2013-07,7.183,
2013-10,7.082,
2014-01,7.085,
2014-04,6.921,
2014-07,6.784,
